,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.39,0.92,0.98,0.98,0.92,0.79,0.95,0.96,0.81,1.04,0.93,0.78,1.08,1.18,1.04
e_1,0.72,1.0,0.96,1.23,1.02,0.9,1.2,1.21,1.19,1.02,0.93,1.06,0.94,1.01,1.15,1.09
d_1,1.09,1.05,1.0,0.89,0.98,1.02,0.98,1.26,0.73,1.3,1.06,0.93,1.13,0.88,0.82,0.9
c_1,1.02,0.81,1.12,1.0,1.27,1.02,0.9,0.71,1.22,0.75,0.87,1.14,1.12,1.05,0.86,1.13
b_1,1.02,0.98,1.02,0.78,1.0,1.49,1.09,1.07,1.13,1.06,0.86,0.92,0.9,0.79,1.09,1.01
a_1,1.09,1.11,0.98,0.98,0.67,1.0,1.16,1.15,1.06,1.1,1.16,1.02,1.29,0.87,0.85,1.01
h_1,1.27,0.81,1.04,1.13,0.91,0.82,1.0,0.94,1.09,0.96,0.94,0.76,1.29,1.01,1.27,0.86
d_0,1.08,0.77,0.92,1.51,0.92,0.87,1.05,1.0,0.99,0.99,0.82,0.98,1.22,0.91,1.16,1.04
g_1,1.09,0.85,1.35,0.83,0.86,0.97,0.93,0.97,1.0,0.97,1.08,1.35,0.85,0.84,0.88,0.88
c_0,1.35,1.0,0.78,1.3,0.93,0.96,1.04,0.99,0.95,1.0,1.33,1.02,1.03,1.22,1.04,1.09
b_0,1.01,1.06,0.88,1.13,1.15,0.76,1.18,1.3,0.91,0.76,1.0,1.04,0.96,1.41,0.98,0.8
f_0,1.0,0.93,1.07,0.87,1.1,0.92,1.29,1.06,0.76,0.98,1.0,1.0,1.04,1.0,0.83,1.3
h_0,1.31,0.98,0.88,0.9,1.08,0.82,0.79,0.84,1.18,0.93,1.05,1.03,1.0,0.93,1.15,0.88
a_0,0.99,0.95,1.18,0.99,1.14,1.12,0.96,1.1,1.12,0.88,0.72,0.95,1.09,1.0,1.03,1.06
g_0,0.83,0.87,1.21,1.15,0.94,1.18,0.77,0.84,1.1,0.98,1.03,1.15,0.87,0.94,1.0,1.09
e_0,0.97,0.82,1.07,0.89,1.03,1.02,1.15,0.94,1.11,0.92,1.1,0.78,1.12,1.07,0.92,1.0
