,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.82,0.68,0.79,1.06,0.8,0.78,1.0,0.83,1.58,0.89,1.06,0.99,0.93,0.93,0.83,0.91
d_1,0.77,1.92,0.9,0.68,0.73,0.8,1.03,0.97,0.68,1.56,1.17,1.07,0.92,1.14,1.04,1.04
f_1,1.28,0.72,1.81,0.77,0.7,0.71,0.81,0.87,0.95,0.92,0.98,0.78,1.06,0.96,0.82,1.05
c_1,0.79,0.86,0.82,1.93,1.36,0.64,0.92,0.87,0.82,0.64,0.63,0.73,0.96,0.91,0.87,0.94
b_1,0.77,0.83,0.82,0.77,2.02,1.45,1.07,0.97,0.94,0.89,0.6,0.92,0.98,0.69,0.84,0.93
a_1,0.75,0.94,0.85,0.84,0.79,2.78,0.9,1.1,0.94,1.03,1.12,1.09,1.01,0.83,1.03,0.96
h_1,0.79,0.95,1.13,0.87,0.75,0.85,1.77,1.34,0.95,0.97,1.08,1.01,0.92,0.96,1.06,1.26
g_1,0.76,1.32,0.81,0.84,0.79,0.75,0.91,1.88,0.78,1.11,1.06,1.48,1.07,1.05,1.19,0.81
d_0,0.81,0.73,0.88,1.51,0.89,0.69,0.98,1.1,1.4,0.71,1.03,1.03,1.11,0.98,1.05,0.97
c_0,0.84,0.97,0.9,0.7,0.7,0.86,1.11,1.12,0.99,1.45,1.94,1.3,1.12,1.36,1.28,1.05
b_0,0.74,0.97,0.93,0.92,0.74,0.84,1.05,1.14,1.01,0.99,1.65,1.35,1.12,1.96,1.22,1.16
f_0,0.71,1.01,0.82,0.99,0.81,0.78,1.23,1.21,1.12,0.97,1.04,1.73,1.18,1.13,2.34,1.04
h_0,0.82,1.02,1.21,0.87,0.88,0.67,0.79,1.18,0.96,0.96,1.06,0.94,0.86,1.15,1.11,1.36
a_0,0.88,0.85,0.94,0.94,0.92,0.53,1.14,1.2,0.99,0.98,1.23,1.23,1.19,1.9,1.13,1.13
e_0,0.74,1.09,0.98,0.95,0.85,0.61,1.16,1.03,1.03,1.03,1.13,1.04,1.27,1.2,2.14,1.18
g_0,0.74,1.21,0.9,0.89,0.84,0.79,1.1,0.88,0.92,1.06,1.1,1.5,1.25,1.19,1.42,1.01
