,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,1.0,1.08,0.95,0.85,0.9,0.88,0.66,0.55,0.68,0.85,0.67,0.62,0.62,0.63,0.47,0.56
f_1,0.92,1.0,1.32,1.01,0.86,0.73,0.59,0.7,0.65,0.59,0.54,0.51,0.48,0.51,0.64,0.39
e_1,1.05,0.76,1.0,1.07,0.98,0.87,0.8,0.69,0.91,0.71,0.71,0.67,0.59,0.58,0.55,0.53
c_1,1.2,0.99,0.93,1.0,1.31,0.8,0.76,0.71,0.5,0.49,0.53,0.72,0.68,0.55,0.53,0.58
b_1,1.11,1.17,1.03,0.78,1.0,1.32,0.72,0.69,0.68,0.69,0.72,0.71,0.63,0.68,0.68,0.62
a_1,1.13,1.35,1.13,1.26,0.76,1.0,0.98,1.0,0.82,0.78,0.89,0.72,0.8,0.84,0.79,0.75
h_1,1.5,1.69,1.24,1.36,1.41,1.05,1.0,1.18,0.9,0.78,0.83,0.8,0.94,0.8,0.95,0.84
g_1,1.73,1.45,1.38,1.39,1.54,1.05,0.86,1.0,0.88,0.98,0.95,1.1,0.79,0.8,0.68,0.86
d_0,1.52,1.53,1.07,2.13,1.43,1.23,1.07,1.12,1.0,0.89,1.05,0.77,0.97,0.72,0.86,0.99
c_0,1.16,1.71,1.43,1.97,1.37,1.29,1.28,1.05,1.2,1.0,1.44,0.94,0.99,0.94,0.79,0.98
b_0,1.52,1.82,1.46,1.89,1.39,1.17,1.21,1.02,0.91,0.71,1.0,0.87,0.94,1.13,0.94,0.76
f_0,1.57,1.82,1.47,1.44,1.46,1.43,1.16,0.87,1.18,1.08,1.13,1.0,0.98,1.05,0.76,1.58
h_0,1.7,2.06,1.78,1.43,1.57,1.19,1.07,1.26,1.02,1.04,1.06,1.01,1.0,0.91,1.1,0.79
a_0,1.59,1.96,1.78,1.65,1.62,1.14,1.26,1.28,1.32,1.1,0.88,0.91,1.09,1.0,1.01,0.9
g_0,2.14,1.6,1.69,1.88,1.5,1.19,1.01,1.38,1.03,1.22,1.14,1.33,0.9,1.03,1.0,1.08
e_0,1.84,2.42,1.91,1.68,1.68,1.46,1.17,1.14,0.98,1.02,1.42,0.69,1.23,1.07,0.92,1.0
