,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.18,0.89,1.68,1.83,1.79,1.89,0.56,0.55,0.44,0.32,0.36,0.44,0.25,0.36,0.36,1.67
f_1,1.65,0.18,1.54,2.02,1.42,1.81,0.29,0.49,0.38,0.3,0.31,1.74,0.16,0.34,0.19,0.34
d_1,1.69,1.74,0.15,1.86,1.54,1.5,0.5,0.29,1.54,0.35,0.32,0.3,0.22,0.4,0.16,0.32
c_1,1.64,2.0,1.87,0.15,1.92,1.58,0.48,0.47,0.17,1.12,0.3,0.3,0.24,0.27,0.25,0.31
b_1,1.61,1.93,2.12,0.83,0.13,1.69,0.6,0.58,0.3,0.43,2.03,0.38,0.23,0.41,0.31,0.32
a_1,2.03,1.57,1.4,2.11,0.95,0.09,0.7,0.47,0.36,0.4,0.52,0.36,0.29,,0.27,0.35
h_1,0.92,1.05,0.82,0.89,1.02,0.88,0.07,0.25,0.21,0.18,0.16,0.2,0.5,0.19,0.16,0.14
g_1,0.99,1.14,0.92,0.98,0.83,0.93,0.2,0.06,0.24,0.21,0.17,0.17,0.12,0.21,0.25,0.2
d_0,0.48,1.15,3.13,0.83,1.35,0.97,0.25,0.36,0.08,0.18,0.21,0.17,0.2,0.16,0.2,0.14
c_0,0.89,0.99,0.48,2.6,0.98,0.93,0.28,0.42,0.22,0.07,0.22,0.17,0.18,0.17,0.17,0.17
b_0,0.89,0.79,0.85,1.5,3.31,0.94,0.22,0.27,0.17,0.09,0.06,0.18,0.12,0.17,0.09,0.16
f_0,0.83,3.87,0.86,0.76,0.84,0.69,0.29,0.16,0.24,0.25,0.18,0.06,0.12,0.24,0.1,0.17
h_0,1.02,1.0,0.75,0.9,0.9,0.81,0.55,0.26,0.2,0.17,0.18,0.17,0.46,0.16,0.14,0.14
a_0,0.85,0.94,0.82,1.06,1.07,,0.27,0.29,0.15,0.17,0.08,0.18,0.14,0.04,0.12,0.14
g_0,0.75,1.05,0.87,1.07,1.51,0.96,0.26,0.43,0.22,0.16,0.15,0.15,0.08,0.16,0.22,0.13
e_0,2.01,0.97,0.89,0.71,0.85,1.02,0.27,0.28,0.18,0.13,0.19,0.07,0.13,0.22,0.09,0.04
