,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,25.12,0.28,0.32,0.38,0.39,0.35,0.7,0.6,1.67,0.73,0.77,0.85,0.83,0.69,0.2,0.95
d_1,0.33,27.07,0.34,0.29,0.34,0.3,0.91,0.75,0.19,1.58,0.94,0.8,0.68,0.75,0.87,0.87
f_1,0.57,0.29,25.66,0.37,0.35,0.35,0.58,0.6,0.68,0.78,0.75,0.25,0.9,0.98,0.73,0.88
c_1,0.37,0.32,0.41,27.62,0.66,0.24,0.68,0.7,0.77,0.14,0.57,0.52,0.91,0.99,0.7,0.72
b_1,0.33,0.37,0.34,0.31,29.99,0.77,0.8,0.81,0.79,0.8,0.13,0.64,0.86,0.51,0.71,0.72
a_1,0.31,0.42,0.24,0.35,0.3,45.28,0.67,0.77,0.77,0.87,0.88,1.1,0.98,0.16,0.76,1.16
h_1,0.58,0.48,0.99,0.64,0.43,0.81,10.0,1.63,1.39,1.42,1.55,1.59,0.58,1.32,1.4,1.9
g_1,0.51,1.15,0.55,0.66,0.55,0.45,1.39,10.43,1.04,1.33,1.39,2.51,1.54,1.42,1.65,0.35
d_0,0.57,0.18,0.75,1.52,0.55,0.6,1.24,1.45,5.48,1.22,1.77,1.64,2.05,1.47,1.97,1.38
c_0,0.84,0.78,0.76,0.21,0.49,0.62,1.27,1.49,1.19,5.12,3.77,1.76,1.65,1.71,1.98,1.44
b_0,0.57,0.75,0.84,0.8,0.21,0.63,1.2,1.56,1.4,1.52,6.51,1.89,1.41,3.05,1.58,1.5
f_0,0.61,0.99,0.25,0.61,0.49,0.85,1.67,1.21,1.62,1.39,1.53,7.08,2.24,1.71,4.43,1.83
h_0,0.4,0.97,0.98,0.65,0.65,0.43,0.53,1.59,1.4,1.21,1.25,1.5,0.62,1.35,1.64,2.32
a_0,0.57,0.49,0.6,0.93,0.85,0.2,1.5,1.69,1.46,1.08,2.5,2.29,1.7,7.61,1.93,1.73
e_0,0.15,0.86,0.89,0.79,0.57,0.46,1.78,1.43,1.81,1.6,1.95,1.56,2.43,2.14,9.38,2.06
g_0,0.54,1.07,0.61,0.78,0.5,0.61,1.25,0.48,1.24,1.68,1.74,2.73,1.82,1.65,1.14,0.73
