,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.54,0.94,0.96,0.79,0.82,0.69,1.04,0.85,0.88,1.56,1.13,1.15,1.15,0.98,0.98,1.03
e_1,0.78,1.54,0.88,1.09,0.86,0.83,1.09,1.66,1.01,0.94,1.02,1.05,1.26,0.87,0.73,1.03
f_1,0.92,1.33,1.55,0.89,0.69,0.74,0.87,1.09,0.93,0.96,0.77,0.92,0.97,0.9,0.6,0.91
c_1,0.96,0.85,0.89,1.56,1.29,0.67,1.01,0.97,0.85,0.74,0.96,0.78,1.17,0.85,0.88,1.23
b_1,0.97,0.92,0.92,0.85,1.63,1.27,1.12,0.93,0.89,1.1,1.02,0.99,1.07,0.77,0.96,1.27
a_1,1.0,0.94,0.99,0.99,0.81,1.74,1.22,1.22,1.26,1.24,1.26,1.31,1.33,0.8,1.14,1.11
h_1,1.18,1.14,1.55,1.14,0.95,0.76,1.82,1.34,1.57,1.25,1.2,1.22,1.23,1.24,1.1,1.49
d_0,1.02,1.02,1.15,1.78,1.27,0.97,1.35,1.68,1.08,0.95,1.25,1.14,1.41,0.98,1.18,1.34
g_1,1.62,1.05,1.06,1.15,1.07,0.79,1.09,1.44,1.91,1.29,1.72,1.33,1.47,1.41,1.44,1.17
c_0,1.17,1.24,1.37,1.13,0.84,0.87,1.49,1.63,1.3,1.78,1.33,2.3,1.65,1.44,1.4,1.57
f_0,1.32,1.05,1.14,1.26,1.21,1.02,1.33,1.52,1.21,1.33,1.81,1.28,1.57,1.28,2.06,1.23
b_0,1.29,1.21,1.38,1.42,0.72,0.75,1.33,1.6,1.19,1.12,1.41,1.81,1.63,2.26,1.33,1.37
h_0,1.41,1.21,1.62,1.21,1.07,0.95,1.15,1.48,1.43,1.3,1.32,1.3,1.33,1.21,1.16,1.67
a_0,1.36,1.26,1.48,1.26,1.11,0.74,1.52,1.59,1.23,1.49,1.51,1.08,1.63,1.86,1.47,1.42
e_0,1.49,0.86,1.63,1.32,1.19,0.97,1.58,1.48,1.2,1.4,1.2,1.39,1.73,1.34,1.87,1.53
g_0,1.8,1.13,1.22,1.17,1.07,1.06,1.29,1.32,1.16,1.36,2.05,1.52,1.49,1.28,1.3,1.42
