,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.88,0.09,0.08,0.08,0.07,0.04,0.07,0.06,0.16,0.08,0.07,0.07,0.07,0.05,0.07,0.01
f_1,0.18,0.88,0.08,0.07,0.06,0.05,0.07,0.05,0.07,0.07,0.08,0.01,0.07,0.04,0.06,0.04
d_1,0.09,0.1,0.88,0.07,0.05,0.06,0.09,0.07,0.02,0.15,0.06,0.07,0.09,0.05,0.06,0.04
c_1,0.09,0.08,0.07,0.88,0.14,0.04,0.08,0.06,0.1,0.02,0.05,0.08,0.08,0.04,0.05,0.04
b_1,0.09,0.11,0.09,0.07,0.87,0.08,0.07,0.08,0.06,0.07,0.01,0.07,0.07,0.04,0.04,0.04
a_1,0.08,0.09,0.09,0.09,0.07,0.87,0.08,0.06,0.08,0.07,0.06,0.08,0.09,,0.05,0.04
h_1,0.13,0.27,0.14,0.13,0.1,0.05,0.53,0.15,0.15,0.12,0.14,0.11,0.06,0.08,0.1,0.07
g_1,0.15,0.15,0.22,0.15,0.09,0.08,0.13,0.53,0.1,0.08,0.12,0.17,0.13,0.08,0.06,0.06
d_0,0.13,0.16,0.05,0.3,0.13,0.08,0.12,0.1,0.37,0.12,0.13,0.1,0.13,0.1,0.1,0.07
c_0,0.18,0.2,0.15,0.06,0.09,0.07,0.13,0.11,0.16,0.38,0.26,0.09,0.16,0.09,0.12,0.09
b_0,0.16,0.19,0.18,0.18,0.02,0.04,0.16,0.13,0.13,0.12,0.37,0.11,0.14,0.18,0.12,0.08
f_0,0.15,0.05,0.18,0.19,0.12,0.08,0.14,0.14,0.17,0.15,0.14,0.39,0.15,0.09,0.13,0.18
h_0,0.16,0.24,0.16,0.15,0.12,0.07,0.04,0.14,0.1,0.1,0.13,0.12,0.04,0.08,0.18,0.07
a_0,0.17,0.16,0.13,0.2,0.1,,0.14,0.1,0.2,0.16,0.13,0.09,0.16,0.36,0.13,0.07
g_0,0.11,0.2,0.23,0.13,0.1,0.08,0.11,0.07,0.1,0.11,0.17,0.17,0.12,0.1,0.06,0.09
e_0,0.06,0.18,0.17,0.16,0.12,0.09,0.2,0.09,0.21,0.16,0.16,0.14,0.15,0.11,0.15,0.34
