,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,1.04,1.57,1.47,1.51,1.43,1.21,0.46,0.57,0.46,0.42,0.39,0.46,0.36,0.27,0.31,0.34
e_1,1.14,1.04,1.52,1.64,1.53,1.35,0.63,0.57,0.57,0.47,0.46,0.48,0.45,0.33,0.33,0.45
d_1,1.76,1.68,1.04,1.57,1.31,1.21,0.57,0.4,0.53,0.56,0.47,0.44,0.4,0.32,0.27,0.39
c_1,1.6,1.43,1.9,1.05,1.85,1.45,0.57,0.57,0.34,0.52,0.42,0.4,0.43,0.39,0.34,0.36
b_1,1.95,2.01,2.03,1.22,1.05,1.75,0.77,0.75,0.54,0.66,0.61,0.51,0.53,0.45,0.41,0.48
a_1,2.67,2.38,2.3,2.08,1.36,1.06,0.98,0.84,0.75,0.77,0.8,0.67,0.8,0.69,0.51,0.6
h_1,5.02,3.99,4.07,4.66,4.01,3.32,1.25,1.75,1.38,1.26,1.28,1.15,1.08,1.18,0.91,1.1
g_1,5.12,4.99,5.15,5.52,4.92,4.12,1.57,1.27,1.49,1.42,1.29,1.48,1.19,0.93,1.2,1.11
d_0,5.01,3.86,5.98,6.21,5.44,4.57,1.85,2.27,1.36,1.31,1.46,1.36,1.5,1.31,1.16,1.35
c_0,6.07,5.38,3.65,7.07,5.21,4.38,1.95,1.86,2.23,1.33,1.82,1.5,1.48,1.27,1.13,1.26
b_0,6.24,5.48,4.77,7.6,6.69,4.61,2.13,2.09,2.0,1.14,1.36,1.48,1.77,1.42,1.33,1.37
f_0,8.02,6.52,5.84,6.82,5.93,5.34,2.41,1.8,2.1,1.68,2.02,1.38,1.72,1.47,1.06,1.99
a_0,7.52,6.37,6.6,7.58,8.35,7.31,2.86,2.71,2.1,1.84,1.38,1.98,1.4,1.67,1.59,1.6
h_0,8.05,7.47,7.32,7.33,6.72,4.95,2.78,2.7,2.19,2.08,1.77,1.87,1.91,1.82,1.54,1.62
g_0,9.67,8.61,8.86,8.91,7.79,7.12,2.77,2.91,2.66,2.57,2.35,2.44,2.15,1.56,1.95,1.96
e_0,11.3,9.27,8.06,9.32,7.89,7.13,2.94,3.06,2.41,2.43,2.79,1.34,2.49,2.04,1.71,1.47
