,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,109.95,49.67,60.83,90.93,100.39,281.1,8735.59,21902.9,11736.34,15053.49,29289.45,39974.54,75760.72,89729.76,96305.23,130497.85
f_1,86.4,123.15,56.65,48.48,79.73,220.05,6042.99,11265.55,11285.06,17551.53,15558.22,25830.81,69827.46,64238.04,114098.68,111580.7
d_1,41.98,62.19,137.93,53.53,93.49,241.7,6848.9,7688.29,11292.44,24395.08,24013.97,31564.44,66990.11,90933.41,82422.78,105647.0
c_1,34.51,52.95,61.88,137.65,161.05,251.66,7010.73,9987.95,9807.63,7386.91,24080.73,22199.34,74538.4,84442.14,75572.67,128334.94
b_1,38.3,46.3,55.65,46.02,194.42,406.73,5801.64,10193.35,8672.59,13030.18,20617.83,19012.0,65736.2,82124.35,64055.25,110259.81
a_1,26.53,43.11,41.44,39.34,42.18,459.49,3917.48,7960.95,7542.39,7289.51,13404.66,19745.1,52566.31,67901.68,48708.2,74024.27
h_1,10.93,19.91,18.57,17.99,24.47,63.2,3223.43,2986.1,4249.54,4021.02,6363.86,8378.62,14533.23,24601.59,28127.56,45648.0
d_0,9.16,12.76,11.7,24.82,23.3,61.06,1821.0,4072.38,2953.01,2753.75,6281.89,8173.7,17091.65,23324.16,26380.46,30502.99
g_1,10.11,11.91,19.19,16.17,23.21,60.58,1488.94,2264.25,4932.07,3418.64,8048.33,6113.09,14900.14,20811.68,20958.67,21715.68
c_0,12.28,12.68,14.05,10.49,15.06,65.17,1741.45,3153.06,2545.19,5136.04,5689.67,11047.24,16092.32,19317.75,24267.93,29927.8
f_0,7.2,8.36,12.93,14.49,19.58,56.32,1387.59,2430.31,2282.16,2710.74,7185.54,6093.75,13439.06,31871.4,20970.46,21426.9
b_0,7.69,12.29,10.37,13.79,9.42,31.93,1377.67,2137.69,2513.23,2323.42,4109.91,8684.99,12722.34,19633.48,33133.98,24080.63
h_0,6.56,10.03,9.04,8.82,11.76,36.95,887.39,1865.0,2121.08,2247.39,3489.82,4289.4,8282.68,12003.29,12369.77,20905.8
e_0,3.94,8.68,7.37,8.49,10.43,29.05,1002.02,1526.18,1631.7,2118.32,2348.46,3634.28,11382.79,20421.87,15788.11,17002.09
a_0,6.89,6.44,8.2,8.92,11.57,20.54,990.68,1493.07,1559.73,2201.32,2716.17,3280.53,8810.36,9226.94,19680.55,14761.97
g_0,4.98,6.31,11.6,6.95,11.02,31.5,739.61,1304.1,1222.76,2158.88,4298.8,3385.44,8447.45,11044.96,13439.47,11798.81
