,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.46,0.96,1.03,1.32,1.18,1.12,2.14,2.02,4.21,2.46,2.71,2.71,3.33,2.72,1.97,3.22
d_1,1.2,2.51,1.26,0.97,1.09,1.01,2.52,2.0,1.65,3.86,2.73,2.54,2.58,2.88,2.53,2.95
f_1,1.64,1.01,2.49,1.17,1.1,1.05,1.66,1.98,2.08,2.33,2.34,1.84,2.92,2.83,2.26,3.26
c_1,1.08,1.19,1.24,2.59,1.8,0.85,2.01,2.14,2.04,1.27,1.76,1.91,3.03,2.56,2.47,2.55
b_1,1.06,1.19,1.14,0.94,2.68,2.02,2.59,2.27,2.47,2.4,1.29,2.21,2.86,1.9,2.38,2.9
a_1,1.15,1.36,1.07,1.25,0.87,3.22,2.07,2.65,2.45,2.53,2.92,3.07,3.7,1.52,2.78,3.7
h_1,1.2,1.15,1.77,1.26,1.0,1.35,4.08,2.83,2.7,2.57,2.79,2.59,2.71,2.6,2.56,3.97
g_1,1.04,1.73,1.27,1.26,1.19,0.97,2.4,4.2,2.2,3.14,2.69,3.7,3.08,2.31,3.17,2.74
d_0,0.95,1.03,1.33,2.17,1.2,1.05,2.37,2.65,3.85,2.36,2.87,2.87,3.62,2.68,3.13,3.16
c_0,1.25,1.2,1.27,1.09,1.14,1.37,2.64,2.57,2.64,3.85,4.68,3.09,3.72,2.98,3.25,3.18
b_0,1.08,1.32,1.37,1.55,0.99,1.17,2.44,2.6,2.53,2.17,4.12,3.08,3.32,4.57,2.9,3.09
f_0,1.11,1.42,0.95,1.49,1.13,1.25,2.75,2.24,2.86,2.45,2.7,4.27,4.12,2.61,5.31,3.02
h_0,1.03,1.48,1.64,1.37,1.3,0.97,1.89,2.9,2.64,2.38,2.68,2.39,2.68,2.79,2.85,4.21
a_0,1.14,1.14,1.29,1.49,1.45,0.97,2.89,3.01,2.62,2.37,2.85,3.39,3.9,4.74,3.25,3.42
e_0,0.74,1.56,1.53,1.43,1.16,0.93,2.93,2.13,2.83,2.78,2.99,2.41,4.23,3.16,5.07,3.62
g_0,1.12,1.66,1.26,1.39,1.16,1.18,2.2,1.59,2.57,2.72,3.05,4.11,3.26,3.13,2.71,2.66
