,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.07,10.27,9.1,7.96,8.47,7.76,2.72,3.09,2.31,2.25,,3.0,1.63,2.21,1.93,2.45
e_1,6.11,1.07,10.24,9.92,9.37,9.81,3.63,3.5,2.76,3.08,2.66,2.46,1.74,,2.73,1.71
d_1,8.98,10.07,1.07,10.25,8.89,7.51,3.28,2.17,3.85,,2.43,2.75,1.79,3.26,1.8,1.43
c_1,10.85,9.99,10.38,1.07,12.36,9.85,3.95,4.29,,1.81,2.72,3.75,2.3,3.48,2.62,2.07
b_1,11.24,12.98,8.73,6.09,1.07,11.05,4.01,4.36,2.83,3.56,3.43,,2.8,3.55,2.72,2.22
a_1,15.48,17.21,15.57,13.06,9.24,1.07,6.03,4.82,6.28,5.44,5.28,,3.48,,,2.89
h_1,14.05,13.24,15.18,13.22,13.55,10.3,1.41,4.5,3.91,4.04,5.57,2.97,,2.59,4.32,3.03
g_1,16.74,14.98,21.56,14.46,13.82,17.62,5.42,1.41,4.23,4.16,7.29,4.55,2.53,4.12,3.4,
c_0,16.09,15.31,7.54,,17.75,10.48,6.36,6.91,1.76,5.0,3.78,5.91,2.9,3.04,3.52,3.06
d_0,19.01,10.15,,17.15,11.98,10.06,5.39,7.48,4.32,1.77,4.1,3.32,3.29,6.35,5.65,4.71
f_0,,16.76,17.5,17.76,12.59,16.13,4.5,3.45,5.17,5.52,1.71,4.52,3.77,,4.17,2.31
b_0,14.02,15.07,17.16,14.75,,,7.75,4.97,2.87,5.32,4.11,1.81,3.84,4.54,5.35,2.99
h_0,15.49,17.84,21.24,17.35,18.93,13.64,,7.93,4.98,4.58,3.98,4.02,,,4.42,3.82
e_0,33.42,,17.83,19.1,20.97,,10.79,7.82,6.68,4.29,,5.22,,1.66,5.55,5.38
a_0,31.74,24.37,31.36,24.58,22.01,,6.15,9.11,6.78,6.6,6.84,3.67,5.77,4.29,1.76,4.33
g_0,22.07,21.73,27.99,20.61,19.83,16.99,6.06,,5.43,5.12,6.18,6.82,3.57,4.67,5.06,
