,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.18,0.57,0.56,0.64,0.8,0.62,0.13,0.13,0.21,0.12,0.14,0.24,0.07,0.12,0.13,0.13
e_1,0.4,0.17,0.67,0.73,0.64,0.69,0.24,0.15,0.23,0.18,0.12,0.17,0.11,0.15,0.35,0.13
d_1,0.73,0.75,0.16,0.74,0.58,0.57,0.17,0.33,0.12,0.13,0.11,0.1,0.1,0.1,0.12,0.06
c_1,0.59,0.55,1.04,0.15,0.62,0.63,0.19,0.07,0.19,0.25,0.13,0.14,0.1,0.13,0.14,0.11
b_1,0.67,0.81,0.7,0.35,0.13,0.69,0.23,0.15,0.19,0.16,0.36,0.11,0.11,0.13,0.11,0.09
a_1,0.81,0.64,0.63,0.82,0.3,0.09,0.23,0.16,0.2,0.15,0.19,0.14,0.09,0.36,0.16,0.11
h_1,0.51,0.52,0.49,0.51,0.53,0.51,0.06,0.11,0.17,0.1,0.1,0.11,0.12,0.09,0.1,0.07
d_0,0.51,0.28,1.03,0.5,0.6,0.56,0.16,0.06,0.16,0.13,0.1,0.12,0.08,0.12,0.1,0.09
g_1,0.55,0.56,0.52,0.6,0.57,0.46,0.1,0.14,0.05,0.08,0.09,0.09,0.06,0.12,0.09,0.09
c_0,0.62,0.57,0.26,1.06,0.63,0.49,0.16,0.16,0.16,0.06,0.1,0.11,0.08,0.09,0.09,0.08
b_0,0.51,0.55,0.43,0.63,1.18,0.47,0.15,0.13,0.12,0.06,0.05,0.1,0.07,0.1,0.09,0.06
f_0,0.95,0.54,0.48,0.54,0.61,0.4,0.17,0.11,0.08,0.1,0.1,0.05,0.07,0.09,0.09,0.04
h_0,0.59,0.53,0.41,0.51,0.63,0.39,0.21,0.11,0.16,0.1,0.1,0.08,0.1,0.1,0.09,0.08
a_0,0.69,0.5,0.38,0.49,0.71,0.67,0.16,0.13,0.14,0.08,0.05,0.09,0.07,0.04,0.14,0.07
e_0,0.77,0.72,0.43,0.55,0.68,0.42,0.13,0.1,0.13,0.09,0.08,0.05,0.06,0.11,0.04,0.07
g_0,0.6,0.54,0.5,0.66,0.47,0.41,0.11,0.1,0.19,0.1,0.1,0.09,0.06,0.1,0.07,0.09
