,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.23,0.96,1.04,0.95,0.98,0.82,0.88,1.08,0.95,0.97,0.85,0.75,0.95,0.98,1.25
e_1,0.81,1.0,0.9,1.15,1.0,0.99,1.04,1.06,0.94,1.35,0.97,1.25,1.08,0.89,1.28,1.06
d_1,1.04,1.11,1.0,0.91,0.87,0.94,1.06,1.31,0.72,1.17,1.18,1.01,1.04,0.98,1.09,0.87
c_1,0.96,0.87,1.1,1.0,1.8,0.83,0.97,0.93,0.98,0.64,0.88,0.9,0.99,0.91,0.81,1.13
b_1,1.05,1.0,1.15,0.56,1.0,1.55,1.19,1.01,1.04,1.08,0.92,0.91,1.2,0.98,0.95,1.02
a_1,1.02,1.01,1.07,1.21,0.65,1.0,1.02,0.99,1.0,1.12,1.03,1.31,1.19,1.26,0.92,1.05
h_1,1.26,0.92,0.99,1.05,0.84,0.94,1.0,0.92,1.34,0.84,0.99,0.87,0.93,1.12,0.96,1.0
c_0,1.15,0.96,0.76,1.22,0.99,1.03,1.07,1.0,1.22,1.21,1.36,1.02,1.12,1.11,0.98,0.93
g_1,0.89,0.98,1.32,1.01,0.95,0.98,0.74,0.87,1.0,0.81,0.92,1.16,0.78,0.82,0.8,0.65
d_0,1.01,0.75,0.83,1.61,0.92,0.87,1.26,0.85,1.21,1.0,1.12,0.96,0.91,1.03,0.89,0.78
b_0,1.04,1.04,0.86,1.13,1.15,0.88,1.02,0.74,1.11,0.88,1.0,1.01,1.17,1.52,1.18,0.79
f_0,1.15,0.8,1.0,1.13,1.07,0.77,1.15,0.96,0.85,0.93,0.98,1.0,1.15,1.19,1.54,0.79
h_0,1.35,0.89,0.98,1.03,0.85,0.85,1.12,0.89,1.25,1.08,0.84,0.91,1.0,0.82,1.19,1.15
a_0,1.12,1.1,0.94,1.12,1.02,,0.88,0.89,1.23,1.04,0.69,0.89,1.26,1.0,1.04,1.11
e_0,1.02,0.77,0.9,1.26,1.03,1.03,1.1,0.98,1.29,1.11,0.86,0.69,0.84,1.0,1.0,1.04
g_0,0.85,0.96,1.22,0.98,0.96,0.93,1.0,1.02,1.41,1.29,1.21,1.27,0.86,0.97,0.98,1.0
