,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,0.01,0.05,0.09,0.1,0.1,0.14,0.19,0.22,0.23,0.22,0.28,0.25,0.29,0.38,0.36,
f_1,0.09,0.01,0.08,0.07,0.11,0.17,0.14,0.17,0.24,0.21,,0.21,0.15,0.24,0.27,0.29
c_1,0.05,0.06,0.01,0.07,0.09,0.09,0.11,0.08,0.15,,0.15,0.2,0.21,0.28,0.29,0.27
d_1,0.07,0.07,0.06,0.01,0.07,0.08,0.11,,0.12,0.16,0.17,0.16,0.16,0.23,0.16,0.29
b_1,0.04,0.04,0.03,0.05,0.01,0.09,0.09,0.08,0.12,0.1,0.17,,0.13,,0.12,0.18
a_1,0.02,0.01,0.02,0.02,0.01,,0.03,0.03,0.03,0.06,0.05,,0.06,,0.07,
h_1,,,,,,,,,,,,,,,,
d_0,,,,,,,,,,,,,,,,
g_1,,,,,,,,,,,,,,,,
c_0,,,,,,,,,,,,,,,,
f_0,,,,,,,,,,,,,,,,
b_0,,,,,,,,,,,,,,,,
h_0,,,,,,,,,,,,,,,,
a_0,,,,,,,,,,,,,,,,
g_0,,,,,,,,,,,,,,,,
e_0,,,,,,,,,,,,,,,,
