,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,1.0,1.18,1.09,0.92,0.96,0.89,0.86,0.96,0.96,0.89,0.91,0.86,0.89,0.82,0.96,1.01
e_1,0.84,1.0,1.09,0.88,1.02,0.98,1.05,1.43,1.25,0.99,1.04,1.27,1.1,1.12,1.09,1.13
c_1,0.92,0.9,1.0,1.15,1.34,1.01,1.01,0.69,1.02,0.75,0.86,0.9,0.88,0.9,0.85,0.99
d_1,1.1,1.11,0.88,1.0,0.92,0.84,1.08,1.03,0.8,1.35,1.13,0.97,1.05,1.08,1.18,0.85
b_1,1.04,0.99,0.76,1.09,1.0,1.53,0.94,0.98,0.92,1.2,0.93,1.03,1.04,0.99,0.85,0.97
a_1,1.12,1.03,0.95,1.15,0.66,1.0,1.13,1.11,1.07,0.98,1.28,1.0,1.18,1.04,1.12,1.19
h_1,1.16,0.94,1.02,0.93,1.05,0.82,1.0,0.9,1.1,0.93,0.91,0.99,0.94,0.98,0.93,1.07
d_0,1.04,0.7,1.43,1.06,1.07,0.84,1.11,1.0,1.2,0.86,0.92,0.88,1.09,1.18,1.05,1.07
g_1,1.05,0.8,0.99,1.27,1.07,0.95,0.92,0.84,1.0,0.97,0.96,1.18,0.86,1.07,0.88,0.97
c_0,1.17,1.01,1.23,0.75,0.83,0.98,1.01,1.18,1.03,1.0,1.52,1.08,1.01,1.03,1.19,0.98
b_0,1.14,0.95,1.23,0.91,1.06,0.77,1.1,1.06,1.06,0.69,1.0,0.94,0.97,1.05,1.39,0.99
f_0,1.06,0.83,1.14,1.06,1.0,0.94,0.98,1.08,0.86,0.92,1.0,1.0,1.07,1.35,0.85,0.81
h_0,1.15,0.92,1.14,0.96,0.99,0.82,1.06,0.89,1.14,0.95,0.96,0.92,1.0,0.96,0.87,1.14
e_0,1.19,0.9,1.16,0.95,0.99,0.98,1.04,0.86,0.98,0.99,0.9,0.75,0.99,1.0,0.94,0.94
a_0,1.01,0.95,1.12,0.88,1.16,0.92,1.09,0.96,1.12,0.86,0.74,1.13,1.16,1.13,1.0,1.02
g_0,0.99,0.92,1.06,1.18,1.0,0.84,0.92,0.98,0.98,1.02,0.99,1.18,0.86,1.01,0.95,1.0
