,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.07,9.29,10.46,7.86,9.83,9.83,2.8,4.08,2.38,2.77,2.61,,1.72,2.47,2.07,1.98
d_1,9.78,1.07,13.13,7.97,8.3,8.12,4.08,2.23,3.0,,2.85,2.62,1.82,2.49,2.51,1.32
e_1,5.82,11.22,1.07,11.48,8.6,,3.28,3.71,3.17,3.46,2.54,3.5,2.04,2.19,,1.98
c_1,9.52,13.25,9.27,1.07,10.78,6.84,3.29,3.13,,1.9,3.68,2.62,2.75,2.33,2.97,2.32
b_1,9.12,11.88,11.31,6.48,1.07,9.73,4.75,3.67,3.86,3.24,,2.78,2.29,3.84,3.62,2.54
a_1,17.83,14.72,,20.67,8.55,1.07,5.63,4.68,6.09,3.12,4.14,5.09,3.49,,3.4,
h_1,16.7,11.33,17.61,14.48,14.49,10.86,1.41,7.54,4.56,3.64,3.36,6.89,,4.35,3.36,4.46
g_1,23.92,17.65,17.38,16.89,17.82,14.13,4.26,1.41,4.43,5.12,4.65,5.47,2.84,4.19,3.69,
c_0,16.91,9.3,14.52,,15.98,11.61,4.56,5.68,1.72,5.16,4.57,4.96,3.61,3.59,3.29,2.72
d_0,16.76,,8.63,17.76,15.21,18.41,6.26,4.47,4.05,1.72,5.11,3.38,2.87,5.21,2.75,3.37
b_0,15.77,14.5,19.17,15.61,,16.75,7.01,5.92,3.74,3.54,1.72,3.97,4.19,7.41,3.84,2.69
f_0,,16.04,12.82,17.06,20.25,10.62,4.94,4.37,3.82,5.35,6.44,1.77,3.85,5.17,7.86,2.53
h_0,16.57,16.84,15.88,15.06,15.93,10.44,,6.25,4.32,5.41,3.65,4.06,,3.94,4.37,4.65
a_0,21.91,21.18,21.29,23.82,17.0,,7.09,7.91,6.54,5.94,3.24,5.34,7.01,1.64,,4.78
e_0,23.96,20.0,,24.82,17.91,18.78,9.04,8.26,7.46,8.91,7.35,2.83,4.98,,1.7,4.12
g_0,19.6,29.77,19.81,16.6,15.05,,4.68,,5.79,7.11,6.83,5.69,2.97,5.6,5.91,
