,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.17,0.03,0.03,0.02,0.02,0.02,0.05,0.07,0.03,0.13,0.05,0.04,0.08,0.04,,0.08
f_1,0.06,2.23,0.03,0.03,0.02,0.03,0.05,0.07,0.02,0.06,0.06,,0.07,0.05,0.04,0.06
d_1,0.02,0.03,2.29,0.04,0.02,0.02,0.06,0.12,0.04,,0.05,0.05,0.08,0.05,0.05,0.06
c_1,0.04,0.03,0.03,2.49,0.05,0.02,0.05,,0.06,0.04,0.05,0.07,0.07,0.04,0.04,0.08
b_1,0.02,0.03,0.03,0.03,2.68,0.04,0.07,0.04,0.04,0.06,,0.07,0.1,0.04,0.05,0.06
a_1,0.04,0.02,0.03,0.03,0.02,2.96,0.05,0.07,0.05,0.04,0.05,0.06,0.07,,,0.06
h_1,0.09,0.18,0.11,0.09,0.08,0.07,2.68,0.25,0.27,0.27,0.22,0.23,,0.17,0.16,0.24
c_0,0.16,0.11,0.1,,0.11,0.1,0.34,1.98,0.23,0.19,0.57,0.33,0.41,0.29,0.26,0.4
g_1,0.09,0.1,0.13,0.1,0.12,0.1,0.2,0.24,3.02,0.21,0.28,0.28,0.24,,0.17,
d_0,0.13,0.17,,0.24,0.12,0.1,0.21,0.34,0.23,2.01,0.41,0.25,0.45,0.19,0.18,0.44
b_0,0.12,0.14,0.14,0.1,,0.1,0.28,0.36,0.3,0.32,2.08,0.28,0.32,0.53,0.22,0.39
f_0,0.12,,0.13,0.14,0.13,0.14,0.25,0.31,0.29,0.42,0.24,2.2,0.4,0.19,0.44,0.35
h_0,0.29,0.36,0.22,0.19,0.19,0.1,,0.29,0.43,0.47,0.46,0.49,,0.24,0.3,0.7
a_0,0.16,0.13,0.18,0.1,0.11,,0.29,0.31,,0.38,0.25,0.21,0.51,2.6,0.25,0.28
e_0,,0.15,0.11,0.12,0.11,,0.4,0.34,0.26,0.25,0.26,0.27,0.47,0.25,2.77,0.39
g_0,0.16,0.21,0.36,0.19,0.14,0.13,0.29,0.46,,0.5,0.43,0.52,0.68,0.49,0.38,
