,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.17,0.43,0.43,0.47,0.43,0.4,0.09,0.09,0.13,0.09,0.15,0.09,0.05,0.11,0.07,0.09
e_1,0.27,0.17,0.58,0.44,0.48,0.47,0.13,0.11,0.14,0.09,0.12,0.09,0.07,0.14,0.11,0.07
c_1,0.47,0.36,0.15,0.59,0.44,0.35,0.11,0.06,0.13,0.13,0.09,0.09,0.07,0.08,0.08,0.06
d_1,0.48,0.52,0.45,0.15,0.46,0.39,0.13,0.16,0.08,0.09,0.09,0.1,0.07,0.08,0.08,0.04
b_1,0.52,0.49,0.24,0.52,0.12,0.44,0.14,0.1,0.16,0.13,0.09,0.16,0.07,0.09,0.11,0.06
a_1,0.56,0.48,0.43,0.47,0.22,0.1,0.16,0.11,0.16,0.12,0.09,0.12,0.07,0.09,0.17,0.07
h_1,0.44,0.38,0.42,0.37,0.41,0.39,0.05,0.08,0.11,0.08,0.08,0.08,0.07,0.07,0.08,0.06
d_0,0.39,0.25,0.49,0.62,0.36,0.34,0.13,0.06,0.15,0.09,0.09,0.11,0.06,0.08,0.09,0.08
g_1,0.44,0.39,0.4,0.35,0.42,0.43,0.08,0.09,0.05,0.07,0.08,0.07,0.05,0.07,0.08,0.07
c_0,0.44,0.39,0.72,0.21,0.49,0.44,0.12,0.1,0.12,0.05,0.08,0.1,0.06,0.08,0.09,0.05
f_0,0.64,0.38,0.42,0.34,0.39,0.38,0.12,0.08,0.07,0.07,0.05,0.08,0.06,0.07,0.08,0.03
b_0,0.42,0.39,0.64,0.29,0.6,0.37,0.11,0.08,0.1,0.04,0.08,0.04,0.05,0.07,0.07,0.05
h_0,0.41,0.38,0.39,0.38,0.36,0.35,0.16,0.08,0.1,0.08,0.07,0.08,0.07,0.06,0.07,0.05
e_0,0.58,0.46,0.41,0.34,0.4,0.37,0.13,0.09,0.09,0.06,0.04,0.07,0.05,0.03,0.07,0.04
a_0,0.45,0.38,0.44,0.38,0.43,0.4,0.13,0.09,0.1,0.06,0.08,0.04,0.05,0.06,0.03,0.05
g_0,0.46,0.45,0.39,0.37,0.34,0.4,0.09,0.08,0.14,0.08,0.07,0.08,0.04,0.06,0.07,0.06
