,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,g_0,a_0
e_1,1.0,0.78,0.9,1.13,0.88,0.71,0.5,0.44,0.57,0.39,0.44,0.43,0.37,0.36,0.38,0.34
f_1,1.26,1.0,0.88,0.89,0.8,0.68,0.39,0.44,0.42,0.42,0.38,0.39,0.3,0.26,0.32,0.28
d_1,1.12,1.12,1.0,0.96,0.82,0.69,0.53,0.36,0.45,0.53,0.42,0.42,0.37,0.34,0.28,0.3
c_1,0.87,1.14,1.06,1.0,1.31,0.83,0.52,0.46,0.32,0.39,0.37,0.35,0.38,0.31,0.32,0.33
b_1,1.13,1.23,1.21,0.77,1.0,1.24,0.66,0.59,0.47,0.56,0.45,0.42,0.43,0.44,0.38,0.34
a_1,1.42,1.45,1.45,1.19,0.81,1.0,0.68,0.61,0.56,0.57,0.56,0.58,0.5,0.4,0.42,0.43
h_1,2.07,2.43,1.95,1.88,1.5,1.46,1.0,1.08,0.88,0.89,0.76,0.79,0.77,0.68,0.69,0.57
g_1,2.29,2.28,2.66,2.17,1.69,1.64,0.96,1.0,0.96,0.99,1.13,0.9,0.63,0.75,0.8,0.75
d_0,1.82,2.47,2.22,3.06,2.24,1.79,1.14,1.0,1.0,0.77,0.94,0.9,0.8,0.88,0.82,0.74
c_0,2.5,2.45,1.92,2.54,1.77,1.76,1.16,1.02,1.27,1.0,0.98,1.3,0.83,0.8,0.7,0.97
f_0,2.16,2.78,2.34,2.64,2.26,1.81,1.32,0.85,1.08,0.99,1.0,1.04,0.88,1.19,0.67,0.75
b_0,2.42,2.51,2.38,3.0,2.38,1.7,1.22,1.14,1.18,0.79,1.0,1.0,0.92,0.9,0.78,1.2
h_0,2.72,3.21,2.74,2.68,2.38,1.94,1.33,1.53,1.21,1.19,1.08,1.1,1.0,0.87,1.08,0.9
e_0,2.77,4.06,2.77,3.14,2.28,2.38,1.49,1.37,1.13,1.13,0.87,1.13,1.15,1.0,0.82,0.91
g_0,2.71,3.21,3.6,3.06,2.73,2.32,1.47,1.3,1.22,1.38,1.49,1.22,0.92,1.17,1.0,0.97
a_0,2.97,3.29,3.38,3.1,3.07,2.46,1.7,1.35,1.42,1.04,1.36,0.85,1.08,1.17,1.02,1.0
