,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,b_0,g_1,f_0,h_0,a_0,e_0,g_0
e_1,2.36,0.73,0.85,0.55,0.63,0.55,0.92,1.62,0.82,1.13,0.82,0.98,1.0,1.01,0.49,0.96
f_1,1.12,2.38,0.64,0.65,0.61,0.48,0.76,0.84,0.8,0.75,0.75,0.42,0.83,1.04,0.71,0.83
c_1,0.58,0.62,2.71,0.68,1.2,0.63,0.98,0.87,0.3,0.54,0.74,0.75,0.84,0.71,1.09,0.93
d_1,0.69,0.68,0.42,3.0,0.58,0.65,0.96,0.42,1.81,1.3,1.12,1.13,1.07,0.99,1.07,1.12
b_1,0.53,0.68,0.69,0.7,3.19,1.34,0.8,0.96,0.84,0.46,0.67,0.93,0.88,0.77,0.9,0.81
a_1,0.55,0.74,0.71,0.68,0.57,4.55,0.96,0.92,1.16,1.05,0.88,1.01,1.33,0.48,1.12,0.92
h_1,0.73,1.13,0.84,0.77,0.7,0.72,2.72,0.83,1.21,1.22,1.45,1.35,0.63,0.99,1.25,1.47
d_0,0.83,0.7,1.62,0.4,0.78,0.68,1.11,2.0,0.81,1.17,1.05,1.23,1.09,1.14,1.16,1.27
c_0,0.93,0.86,0.45,0.93,0.62,0.72,1.11,1.1,2.31,2.24,1.31,1.34,1.3,1.43,1.19,1.14
b_0,0.96,0.95,0.82,0.74,0.34,0.51,1.23,1.21,1.41,2.79,1.28,1.21,1.24,2.77,1.14,1.34
g_1,0.75,0.75,0.75,1.19,0.71,0.68,1.33,0.77,1.21,1.31,4.15,1.94,1.14,1.31,1.22,0.81
f_0,0.56,0.59,0.95,1.0,0.68,0.83,1.26,1.17,1.22,1.32,1.61,3.23,1.53,1.18,2.94,1.45
h_0,0.72,1.07,0.84,0.9,0.66,0.74,0.74,0.97,1.18,1.21,1.92,1.18,0.92,1.09,1.24,1.56
a_0,0.92,0.86,0.88,0.88,0.6,0.39,1.28,1.26,1.11,1.2,1.67,1.27,1.18,3.13,1.3,1.3
e_0,0.42,0.96,0.77,1.22,0.82,0.72,1.05,0.95,1.17,1.14,1.62,1.31,1.48,1.21,3.32,1.29
g_0,0.58,0.68,0.88,1.4,0.8,0.66,1.21,0.86,1.24,1.06,0.73,2.16,1.25,1.05,1.4,1.0
