,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.14,9.18,11.08,10.94,12.02,10.05,2.37,2.61,3.32,2.01,2.21,6.92,0.96,2.66,1.76,1.8
d_1,12.63,1.14,12.69,11.42,9.06,10.9,4.23,8.42,2.22,3.18,2.07,2.47,1.53,2.09,2.04,1.14
e_1,6.0,15.96,1.14,12.75,12.67,12.05,3.15,2.8,4.24,1.93,2.54,2.71,2.09,2.16,10.91,2.46
c_1,12.01,15.46,12.19,1.14,15.42,13.55,2.96,1.2,4.08,9.95,2.22,2.36,2.06,2.48,2.25,1.79
b_1,13.98,13.67,14.51,8.57,1.14,12.41,4.85,3.38,3.85,3.81,14.1,2.4,2.25,4.0,4.72,2.12
a_1,31.59,21.45,16.23,18.28,9.92,1.15,6.32,4.01,7.33,4.3,4.82,4.03,3.06,15.2,4.53,2.6
h_1,24.43,24.87,30.04,36.77,26.27,30.29,1.88,5.64,8.32,4.94,5.21,6.17,8.68,4.63,4.53,4.3
d_0,37.39,122.57,16.31,31.31,39.96,35.52,12.09,2.67,7.93,6.01,5.84,5.57,5.11,5.35,7.43,5.86
g_1,36.64,30.92,35.31,31.0,39.96,32.7,8.02,10.03,1.9,7.77,7.41,7.01,3.95,8.44,7.59,11.33
c_0,43.11,16.58,36.83,112.93,42.34,29.86,9.7,8.74,12.72,2.57,7.05,6.17,6.89,6.13,5.82,5.07
b_0,34.9,37.71,34.25,47.91,157.61,52.82,9.27,5.88,9.23,3.54,2.73,7.31,5.05,7.17,7.76,4.42
f_0,215.53,39.45,41.27,37.2,43.65,38.87,12.26,8.22,7.09,7.96,9.48,2.69,5.64,9.05,8.31,3.74
h_0,65.43,41.85,48.24,52.7,48.08,49.05,26.9,12.18,12.72,9.8,8.5,10.89,21.7,7.6,8.12,10.62
a_0,76.33,44.0,63.43,50.19,85.97,,15.44,12.87,16.85,13.27,6.15,11.38,9.23,2.79,7.93,6.8
e_0,118.19,50.47,122.32,83.21,70.92,44.78,14.63,13.64,13.48,12.02,10.32,6.4,7.61,14.07,2.81,6.54
g_0,67.85,62.4,71.35,64.53,60.36,62.42,16.35,13.64,42.12,13.85,13.14,13.84,7.23,10.27,11.26,18.89
