,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,11.6,0.7,0.54,0.84,0.59,0.73,0.99,2.16,0.92,0.93,0.98,1.0,0.9,1.0,1.0,0.62
f_1,1.52,10.87,0.64,0.59,0.59,0.58,0.91,0.94,0.87,0.93,0.82,0.6,0.82,0.96,0.9,0.58
d_1,0.57,0.73,14.07,0.45,0.58,0.59,0.94,0.61,2.34,1.08,1.29,1.08,1.07,1.06,1.1,1.28
c_1,0.54,0.65,0.58,13.77,1.63,0.75,0.85,0.83,0.35,0.68,0.65,0.9,0.85,0.78,0.88,1.02
b_1,0.67,0.62,0.6,0.81,16.23,1.33,0.82,0.81,0.77,0.74,0.43,0.87,1.04,0.73,0.77,1.02
a_1,0.56,0.75,0.8,0.72,0.64,26.03,1.01,0.76,0.87,0.86,1.1,0.82,1.27,0.54,0.98,0.88
h_1,0.74,1.08,0.86,0.73,0.6,0.55,3.73,0.78,0.91,1.45,1.22,1.15,0.76,0.93,1.53,1.22
d_0,0.72,0.72,0.43,2.36,0.78,0.7,0.98,2.03,0.74,1.02,1.11,1.12,1.13,1.05,0.95,0.89
c_0,0.68,0.82,0.96,0.58,0.52,0.62,1.16,1.09,2.38,1.21,3.65,1.32,1.58,1.76,1.29,1.15
g_1,0.6,0.57,1.93,0.72,0.56,0.68,0.86,0.78,1.32,4.39,1.14,1.59,1.19,1.15,0.91,1.25
b_0,0.61,0.92,0.85,0.85,0.47,0.52,1.36,1.14,1.13,1.3,2.9,1.42,1.38,3.34,1.2,1.35
f_0,0.41,0.53,1.04,0.93,0.86,0.77,1.36,1.02,1.13,1.27,1.25,3.23,1.29,1.26,1.38,3.87
h_0,0.7,1.13,0.94,0.76,0.7,0.86,0.68,0.91,1.07,1.62,1.03,0.99,0.85,1.02,1.68,1.05
a_0,0.68,0.85,0.94,0.75,0.73,0.47,1.06,1.24,1.33,1.21,1.5,1.4,1.07,3.45,1.19,1.18
g_0,0.6,0.69,1.58,0.67,0.76,0.82,0.93,0.82,0.88,0.83,1.11,2.1,1.16,0.82,0.74,1.49
e_0,0.31,0.78,1.21,0.99,0.79,0.9,1.39,0.85,1.01,1.15,1.29,1.26,1.31,1.12,1.27,3.14
