,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.28,0.9,0.47,0.46,0.39,0.29,0.78,0.99,0.66,0.67,0.89,0.42,1.06,0.9,1.11,0.79
e_1,0.52,2.29,0.39,0.68,0.4,0.29,0.99,1.92,0.77,1.1,1.02,1.0,1.1,0.87,1.17,0.37
d_1,0.57,0.47,2.38,0.31,0.42,0.44,0.88,0.43,0.73,1.96,1.14,1.03,1.46,0.75,1.14,0.79
c_1,0.52,0.45,0.44,2.41,0.8,0.36,0.8,0.87,0.83,0.27,0.69,1.03,1.46,0.87,0.98,0.8
b_1,0.47,0.41,0.51,0.54,2.6,0.69,0.84,0.86,0.79,0.87,0.31,0.91,1.14,0.6,1.16,0.8
a_1,0.52,0.48,0.57,0.5,0.38,3.12,1.1,1.03,0.82,1.02,1.18,0.92,1.26,0.44,1.0,0.72
h_1,0.85,0.52,0.59,0.65,0.52,0.39,2.96,1.23,1.29,1.26,1.05,0.93,0.8,0.85,1.93,0.89
d_0,0.66,0.64,0.25,1.12,0.47,0.37,1.16,2.51,0.72,1.08,1.07,1.34,1.49,0.98,1.62,0.94
g_1,0.69,0.51,0.95,0.55,0.46,0.42,1.01,0.9,3.32,1.14,1.21,1.8,1.39,0.81,0.74,0.87
c_0,0.65,0.68,0.73,0.35,0.33,0.41,1.24,1.28,0.83,2.7,2.59,1.23,1.49,1.42,1.64,1.0
b_0,0.66,0.67,0.7,0.57,0.24,0.28,1.45,1.4,1.05,1.4,2.67,1.31,1.49,2.24,1.56,1.04
f_0,0.35,0.54,0.7,0.64,0.59,0.41,1.34,1.43,1.02,1.43,1.5,2.62,1.71,1.07,1.33,1.84
h_0,0.84,0.58,0.65,0.62,0.63,0.42,0.64,1.01,1.5,1.07,1.22,1.11,0.97,0.94,1.9,0.76
a_0,0.71,0.63,0.63,0.59,0.49,0.27,1.18,1.47,1.08,1.21,1.27,1.43,1.8,2.88,1.34,0.88
g_0,0.55,0.49,0.9,0.7,0.54,0.53,1.01,1.14,0.59,1.16,1.33,1.86,1.52,1.0,0.84,0.89
e_0,0.72,0.33,0.68,0.61,0.55,0.43,1.63,1.17,1.02,1.36,1.45,1.13,1.87,0.93,1.17,3.3
