,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,92.83,58.2,73.93,129.66,221.2,499.91,8148.34,34761.98,25392.15,29005.24,46081.43,43114.53,103010.77,146674.5,184742.22,151162.56
f_1,80.39,95.46,78.07,105.47,210.94,409.86,7842.57,21073.93,25007.81,32325.41,37910.3,28790.39,88570.74,120187.71,145986.81,116918.45
d_1,53.37,57.64,129.55,75.14,183.1,398.93,7646.9,15672.6,17080.86,45414.24,42716.34,38544.94,89603.36,126453.99,150120.6,155441.68
c_1,41.59,48.03,75.03,152.4,303.49,395.33,7177.4,13499.01,19378.64,18114.88,26822.97,31309.02,65735.88,95905.26,111083.75,132742.08
b_1,33.32,36.17,58.97,56.79,286.96,566.84,5561.13,11930.59,15326.58,20729.99,20936.5,29869.15,50303.38,92064.64,106615.56,107205.56
a_1,29.06,32.68,45.87,54.73,84.33,535.93,4900.4,10823.3,12154.35,17318.36,23990.6,22949.77,35250.86,68545.73,108518.09,80752.68
h_1,14.05,18.47,22.84,24.12,53.88,101.81,2848.13,4752.53,6677.94,7638.51,9417.4,9603.94,22601.59,27587.26,47995.65,43374.13
d_0,8.64,11.49,13.51,32.84,46.78,86.11,1612.35,5063.59,4676.47,4131.16,7596.06,7830.17,17809.85,23653.62,31029.99,31674.86
g_1,9.11,8.46,21.94,18.66,37.8,77.81,1422.43,3299.7,6614.75,5858.71,7886.83,11098.39,17583.21,19183.94,27293.84,34407.49
c_0,10.83,9.8,12.52,18.06,30.8,72.63,1455.68,4553.09,3841.98,6842.6,11253.36,7737.39,18933.53,24196.93,34548.85,27039.92
b_0,8.27,10.36,13.25,19.92,30.35,47.93,1318.17,3629.97,3625.27,3838.11,8553.08,6912.67,24579.42,20047.12,25295.85,26043.55
f_0,7.85,8.76,14.88,17.29,32.77,69.62,1290.75,3259.33,3159.17,4702.68,6886.45,8907.9,15587.1,22091.45,27226.94,46841.75
a_0,6.21,7.21,11.0,15.34,29.57,40.5,1027.19,2657.49,2807.62,3242.52,4119.21,4775.5,16439.03,15374.57,18526.65,22378.69
h_0,6.24,7.98,9.83,12.06,20.67,57.21,878.08,2582.77,3526.36,3178.05,4545.45,4366.3,10688.38,12000.31,23818.99,16909.47
g_0,5.26,6.11,11.92,11.51,21.45,39.22,852.92,2097.82,1851.78,3045.62,4568.88,5555.79,11614.01,12371.57,15852.99,18640.15
e_0,4.29,7.68,9.05,10.81,24.44,43.81,836.49,2078.49,2246.07,3136.63,4139.02,3471.11,9189.78,14446.41,16145.1,23378.51
