,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,1.0,0.97,0.68,1.27,1.07,0.97,1.11,1.13,1.29,0.88,1.1,1.21,1.25,1.2,1.17,1.19
d_1,1.03,1.0,1.1,0.88,1.0,0.94,1.03,0.84,0.91,1.21,1.09,0.95,1.0,1.01,1.05,0.76
f_1,1.45,0.91,1.0,1.01,0.83,0.83,0.81,1.01,1.07,0.93,0.92,0.74,0.7,0.78,0.9,1.09
c_1,0.79,1.14,0.99,1.0,1.54,0.89,1.05,0.97,0.72,0.76,0.83,0.93,1.09,0.86,0.97,0.88
b_1,0.92,0.99,1.22,0.66,1.0,1.59,1.05,1.1,1.03,1.19,1.11,0.96,1.09,1.09,0.73,1.13
a_1,1.04,1.06,1.19,1.12,0.63,1.0,1.11,1.01,0.87,1.06,1.15,1.05,0.99,1.06,1.19,1.07
h_1,0.94,0.96,1.17,1.0,1.0,0.91,1.0,1.21,0.93,0.96,0.89,0.98,1.15,1.1,1.02,1.16
g_1,0.9,1.16,1.03,0.98,0.94,0.99,0.81,1.0,1.01,0.95,1.03,1.28,0.82,1.02,0.96,1.08
d_0,0.75,1.19,0.96,1.38,0.95,1.13,1.09,1.03,1.0,0.94,0.81,0.94,1.02,1.0,0.88,1.14
c_0,1.08,0.81,1.1,1.21,0.89,0.95,1.05,1.07,1.08,1.0,1.36,1.03,1.06,1.06,1.13,1.13
b_0,0.94,0.91,1.06,1.16,0.92,0.86,1.14,0.97,1.21,0.78,1.0,1.08,1.06,0.94,1.39,1.11
f_0,0.81,1.06,1.35,1.06,1.0,0.97,1.02,0.79,1.09,0.98,0.96,1.0,1.14,1.44,0.89,0.92
h_0,0.84,0.98,1.37,0.94,0.89,0.99,0.9,1.27,0.92,0.93,0.98,0.9,1.0,0.93,0.87,1.02
e_0,0.81,1.05,1.27,1.12,1.04,0.86,0.94,1.05,1.03,0.96,1.03,0.72,1.1,1.0,1.0,0.88
a_0,0.87,0.93,1.03,1.23,1.43,0.77,1.08,1.05,1.21,0.8,0.69,1.12,1.17,0.93,1.0,0.93
g_0,0.88,1.22,0.96,1.13,0.9,0.88,0.87,0.94,0.91,0.95,0.95,1.11,1.0,1.07,0.96,1.02
