,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.42,0.48,0.66,0.81,0.75,0.63,0.39,0.36,0.3,0.43,0.31,0.41,0.28,0.3,0.43,0.27
f_1,0.71,0.41,0.64,0.73,0.65,0.53,0.28,0.3,0.28,0.41,0.31,0.36,0.21,0.27,0.27,0.3
d_1,0.76,0.72,0.39,0.65,0.68,0.65,0.32,0.35,0.32,0.24,0.29,0.28,0.25,0.28,0.27,0.18
c_1,0.55,0.65,0.91,0.37,0.78,0.66,0.38,0.2,0.39,0.35,0.28,0.28,0.24,0.28,0.32,0.27
b_1,0.66,0.77,0.69,0.42,0.35,0.83,0.4,0.31,0.37,0.46,0.42,0.34,0.26,0.34,0.28,0.26
a_1,0.72,0.82,0.69,0.67,0.39,0.31,0.43,0.35,0.29,0.33,0.35,0.3,0.3,0.47,0.33,0.3
h_1,0.65,0.64,0.6,0.67,0.61,0.53,0.24,0.31,0.28,0.37,0.28,0.28,0.26,0.26,0.23,0.26
d_0,0.44,0.6,0.83,0.74,0.7,0.57,0.36,0.24,0.29,0.4,0.27,0.31,0.26,0.3,0.31,0.3
c_0,0.7,0.71,0.41,0.96,0.62,0.68,0.35,0.36,0.23,0.34,0.31,0.28,0.24,0.31,0.27,0.23
g_1,0.6,0.65,0.7,0.71,0.52,0.75,0.27,0.29,0.26,0.21,0.28,0.28,0.18,0.24,0.28,0.27
b_0,0.6,0.64,0.56,0.79,0.72,0.61,0.36,0.31,0.19,0.37,0.23,0.27,0.24,0.35,0.25,0.23
f_0,0.58,0.8,0.61,0.7,0.57,0.69,0.32,0.3,0.28,0.25,0.27,0.21,0.24,0.24,0.3,0.16
h_0,0.57,0.7,0.6,0.64,0.62,0.57,0.4,0.27,0.29,0.37,0.27,0.26,0.27,0.26,0.29,0.24
a_0,0.6,0.64,0.62,0.68,0.73,0.62,0.32,0.29,0.25,0.41,0.17,0.28,0.26,0.19,0.25,0.2
e_0,0.72,0.88,0.62,0.61,0.53,0.54,0.4,0.3,0.3,0.27,0.31,0.17,0.23,0.27,0.18,0.22
g_0,0.64,0.59,0.65,0.63,0.66,0.54,0.28,0.29,0.28,0.36,0.28,0.3,0.19,0.27,0.3,0.27
