,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,5.73,3.72,2.22,2.38,1.99,1.88,7.24,8.17,9.17,8.55,8.87,7.09,14.3,10.38,13.05,7.16
e_1,2.18,5.96,1.85,2.73,2.47,2.43,8.3,7.52,18.61,10.01,11.11,11.59,14.01,9.22,15.88,8.81
d_1,2.36,1.88,6.57,1.94,2.17,2.11,9.32,8.83,6.61,18.84,13.6,10.89,17.19,13.04,16.46,12.95
c_1,2.41,2.09,1.88,6.92,4.0,2.49,7.87,7.52,9.06,6.42,6.9,11.11,14.92,12.05,14.0,11.19
b_1,2.35,2.07,2.02,2.22,7.89,4.54,8.11,7.52,10.07,8.63,6.15,9.93,18.16,7.8,17.66,11.36
a_1,2.6,2.04,2.49,2.22,2.43,10.6,8.07,8.8,9.44,12.44,11.16,10.95,19.13,7.03,14.99,10.06
h_1,3.34,2.33,2.74,2.42,2.05,1.92,17.46,12.45,11.38,11.21,11.76,10.18,11.38,12.39,21.75,13.5
g_1,2.33,2.05,3.71,2.41,2.29,2.33,9.11,21.21,9.82,11.0,11.44,15.65,15.1,13.01,13.14,12.82
d_0,2.4,2.26,1.56,4.74,2.37,2.46,9.02,7.09,17.59,7.62,12.3,10.9,16.02,11.97,15.49,15.15
c_0,2.82,2.15,2.99,2.02,1.56,2.16,10.6,10.66,11.02,19.93,22.9,11.64,20.04,15.91,21.14,17.09
b_0,2.77,2.28,2.95,2.64,1.49,1.89,10.51,10.49,11.4,12.76,20.87,11.92,18.7,26.36,17.97,16.75
f_0,1.97,1.87,3.01,2.67,2.62,2.5,10.12,10.22,12.53,13.43,13.51,23.81,17.91,14.41,22.6,30.45
h_0,3.31,2.36,2.66,2.48,2.36,2.35,6.53,11.39,9.5,10.77,11.65,11.08,12.73,14.06,24.11,12.48
a_0,3.12,2.08,2.78,2.64,2.39,1.4,10.78,9.27,10.79,11.63,12.01,12.73,19.66,26.92,20.55,18.38
g_0,2.16,1.97,3.76,2.54,2.31,2.3,7.62,6.42,10.22,12.02,12.77,20.37,18.24,12.69,15.99,16.78
e_0,3.04,2.07,2.45,3.02,2.21,2.19,9.86,9.99,11.72,11.27,12.28,11.56,21.97,17.07,20.92,31.09
