,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.42,0.87,0.84,0.97,0.95,0.74,0.2,0.28,0.19,0.2,0.19,0.23,0.1,0.19,0.14,0.17
e_1,0.59,0.41,0.92,1.08,0.98,0.93,0.31,0.28,0.21,0.21,0.22,0.25,0.14,0.21,0.16,0.3
d_1,0.98,1.01,0.41,0.88,0.9,0.83,0.21,0.18,0.19,0.25,0.19,0.19,0.12,0.16,0.09,0.17
c_1,1.06,0.78,1.25,0.39,0.95,0.83,0.29,0.28,0.27,0.12,0.21,0.18,0.15,0.2,0.15,0.19
b_1,1.12,1.04,1.11,0.67,0.38,0.92,0.36,0.32,0.28,0.21,0.27,0.22,0.15,0.2,0.15,0.2
a_1,1.52,1.26,1.15,1.25,0.7,0.32,0.37,0.38,0.24,0.29,0.31,0.22,0.18,0.36,0.16,0.24
h_1,1.92,1.72,1.71,1.81,1.6,1.39,0.28,0.52,0.36,0.36,0.35,0.33,0.3,0.32,0.23,0.3
g_1,2.25,2.01,1.78,2.05,1.83,1.61,0.4,0.27,0.38,0.36,0.35,0.36,0.21,0.3,0.28,0.31
c_0,2.26,2.0,1.17,2.93,2.1,2.01,0.58,0.47,0.29,0.57,0.4,0.37,0.3,0.38,0.26,0.36
d_0,1.96,1.26,2.57,2.21,2.07,1.89,0.65,0.72,0.44,0.32,0.48,0.41,0.34,0.45,0.35,0.48
b_0,2.48,2.03,1.61,2.77,2.62,1.71,0.52,0.49,0.27,0.43,0.27,0.38,0.3,0.39,0.26,0.4
f_0,2.93,2.2,2.14,2.08,2.18,1.71,0.62,0.43,0.43,0.5,0.39,0.28,0.29,0.39,0.21,0.34
h_0,2.47,2.54,2.3,2.63,2.06,2.22,0.88,0.67,0.46,0.59,0.48,0.49,0.45,0.43,0.34,0.45
a_0,2.47,2.39,2.62,3.2,2.82,2.83,0.64,0.68,0.45,0.58,0.3,0.52,0.3,0.25,0.35,0.44
g_0,2.96,2.73,2.6,2.64,2.64,2.38,0.59,0.89,0.5,0.57,0.51,0.51,0.29,0.49,0.45,0.51
e_0,3.77,3.25,2.52,2.64,2.51,1.91,0.62,0.69,0.55,0.49,0.52,0.27,0.49,0.52,0.29,0.25
