,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.92,0.4,0.53,0.33,0.32,0.21,0.33,0.62,0.28,0.33,0.32,0.33,0.39,0.25,0.19,0.28
f_1,0.69,0.92,0.39,0.37,0.27,0.22,0.31,0.39,0.26,0.32,0.32,0.2,0.32,0.21,0.14,0.25
c_1,0.41,0.41,0.92,0.34,0.57,0.25,0.34,0.32,0.25,0.22,0.22,0.27,0.34,0.2,0.21,0.28
d_1,0.42,0.42,0.31,0.92,0.31,0.23,0.32,0.25,0.34,0.62,0.42,0.34,0.41,0.29,0.23,0.3
b_1,0.37,0.4,0.39,0.36,0.91,0.47,0.32,0.33,0.3,0.34,0.24,0.31,0.35,0.15,0.23,0.28
a_1,0.46,0.49,0.36,0.39,0.34,0.89,0.39,0.38,0.3,0.39,0.35,0.29,0.4,0.16,0.23,0.3
h_1,0.49,0.59,0.44,0.38,0.35,0.25,0.65,0.38,0.38,0.3,0.3,0.33,0.29,0.24,0.23,0.33
d_0,0.42,0.42,0.74,0.28,0.4,0.21,0.36,0.54,0.3,0.27,0.34,0.33,0.35,0.23,0.26,0.29
g_1,0.43,0.39,0.43,0.58,0.34,0.22,0.31,0.3,0.65,0.4,0.32,0.46,0.43,0.2,0.31,0.24
c_0,0.46,0.5,0.35,0.46,0.24,0.25,0.39,0.4,0.34,0.59,0.62,0.39,0.45,0.34,0.28,0.33
b_0,0.49,0.5,0.48,0.41,0.26,0.21,0.36,0.43,0.34,0.39,0.56,0.36,0.42,0.53,0.27,0.28
f_0,0.37,0.41,0.48,0.49,0.37,0.23,0.4,0.38,0.36,0.36,0.36,0.55,0.44,0.3,0.47,0.34
h_0,0.47,0.56,0.39,0.49,0.3,0.22,0.23,0.36,0.39,0.39,0.34,0.3,0.33,0.23,0.23,0.4
a_0,0.49,0.53,0.45,0.41,0.3,0.16,0.35,0.4,0.31,0.41,0.39,0.32,0.45,0.5,0.25,0.33
e_0,0.4,0.47,0.47,0.46,0.36,0.27,0.41,0.35,0.34,0.39,0.36,0.34,0.4,0.25,0.46,0.33
g_0,0.42,0.41,0.4,0.62,0.33,0.25,0.36,0.33,0.28,0.4,0.37,0.5,0.42,0.25,0.31,0.25
