,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.25,1.06,0.5,0.45,0.48,0.34,1.06,1.02,0.76,1.15,1.1,0.44,1.26,0.92,0.73,1.38
e_1,0.68,2.3,0.69,0.49,0.45,0.46,1.12,2.33,0.92,1.33,1.16,1.25,1.36,0.89,0.75,1.19
c_1,0.57,0.58,2.4,0.54,0.98,0.39,0.9,1.04,0.75,0.47,0.99,0.97,1.37,0.93,0.73,1.25
d_1,0.66,0.54,0.47,2.47,0.47,0.47,1.0,0.72,1.11,2.03,1.35,0.91,1.68,1.02,0.79,1.42
b_1,0.65,0.5,0.55,0.63,2.59,0.84,1.13,0.91,0.81,0.92,0.43,1.11,1.39,0.69,0.72,1.48
a_1,0.61,0.5,0.62,0.61,0.52,3.07,1.17,1.29,0.94,1.15,1.07,1.34,1.51,0.51,1.22,1.1
h_1,1.03,0.68,0.71,0.72,0.57,0.43,3.04,1.44,1.37,1.39,1.62,1.13,1.19,1.03,1.33,2.0
d_0,0.72,0.62,1.39,0.42,0.53,0.53,1.17,2.56,1.24,1.16,1.64,1.3,2.07,1.28,1.21,1.42
g_1,0.6,0.65,0.74,1.03,0.69,0.42,1.14,1.02,3.39,1.14,1.34,2.21,1.85,1.28,1.31,1.07
c_0,0.75,0.68,0.5,0.78,0.5,0.45,1.49,1.6,1.23,2.84,3.07,1.32,2.13,1.55,1.34,1.54
b_0,0.87,0.74,0.79,0.67,0.37,0.37,1.44,1.67,1.17,1.25,2.91,1.35,2.12,2.76,1.43,1.59
f_0,0.51,0.59,0.82,0.74,0.7,0.4,1.38,1.67,1.34,1.17,1.45,3.17,2.53,1.71,3.22,1.42
h_0,1.09,0.71,0.59,0.73,0.58,0.49,0.98,1.3,1.56,1.09,1.55,1.34,0.97,1.2,1.38,2.06
a_0,0.8,0.82,0.83,0.66,0.67,0.31,1.35,1.47,1.2,1.5,1.14,1.38,2.13,3.14,1.28,1.8
e_0,0.61,0.42,0.82,0.97,0.69,0.51,1.23,1.21,1.51,1.61,1.57,1.11,2.17,1.23,3.13,1.58
g_0,0.63,0.68,0.78,1.1,0.64,0.49,1.19,1.3,0.79,1.27,1.27,2.18,1.57,1.05,1.51,1.1
