,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,23.8,0.39,0.18,0.43,0.36,0.28,0.89,0.7,1.73,0.82,0.75,0.83,0.94,0.84,0.22,0.81
f_1,0.73,25.07,0.35,0.35,0.22,0.35,0.6,0.56,0.62,0.91,0.15,0.87,0.85,0.81,0.75,0.66
d_1,0.31,0.34,27.38,0.32,0.35,0.35,0.8,0.82,0.18,1.65,0.75,1.0,1.05,0.83,0.84,0.78
c_1,0.31,0.29,0.37,28.75,0.62,0.3,0.77,0.56,0.83,0.1,0.87,0.73,0.93,0.9,0.79,0.97
b_1,0.31,0.3,0.4,0.27,28.63,0.75,0.55,0.76,0.77,0.74,1.14,0.16,0.92,0.67,0.81,0.93
a_1,0.32,0.33,0.43,0.28,0.31,44.98,0.8,0.82,0.71,0.84,0.83,0.8,0.9,0.17,1.2,0.79
h_1,0.51,0.99,0.65,0.63,0.69,0.56,9.59,1.7,1.42,1.01,1.21,1.58,0.47,1.06,1.66,2.38
g_1,0.56,0.53,0.98,0.75,0.78,0.57,1.29,11.01,0.92,1.46,2.62,1.19,0.86,1.42,1.31,0.43
d_0,0.51,0.78,0.22,1.49,0.6,0.63,1.51,1.51,5.85,1.22,1.18,1.57,1.52,1.16,1.35,1.68
c_0,0.84,0.83,0.83,0.23,0.43,0.63,1.62,1.25,1.27,5.15,1.48,3.59,1.27,1.95,1.35,1.56
f_0,0.45,0.31,0.74,0.94,1.08,0.53,1.44,1.55,1.5,0.99,7.09,1.08,1.63,1.46,3.33,2.34
b_0,0.52,0.79,0.79,0.9,0.23,0.44,1.23,1.36,1.63,1.82,1.73,7.51,2.26,3.21,1.72,1.77
h_0,0.57,1.08,0.66,0.58,0.6,0.67,0.55,1.9,1.6,1.29,1.66,1.48,0.39,1.59,1.28,2.03
a_0,0.67,0.71,0.7,0.6,0.9,,1.2,1.82,1.21,1.36,1.72,1.27,1.66,10.81,1.36,2.3
e_0,0.14,0.88,1.0,0.66,0.61,0.68,1.69,1.51,1.73,1.8,1.45,1.52,1.99,1.47,9.59,1.57
g_0,0.42,0.59,1.41,0.65,0.6,0.59,1.11,0.65,1.11,1.29,3.05,1.47,1.53,0.91,1.7,0.73
