,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.78,0.83,0.74,1.01,0.78,0.73,0.97,1.5,0.89,0.82,1.02,1.08,1.0,0.79,0.97,0.9
f_1,1.34,1.86,0.74,0.78,0.61,0.59,0.91,1.04,0.91,1.0,0.74,1.0,1.0,0.68,1.01,0.95
d_1,0.76,0.93,2.02,0.6,0.77,0.7,0.98,0.66,0.95,1.73,0.92,1.2,0.98,1.1,1.07,1.07
c_1,0.7,0.76,0.75,1.95,1.38,0.85,0.98,0.86,0.8,0.58,1.0,0.65,0.93,0.9,0.74,0.99
b_1,0.74,0.81,0.87,0.81,2.07,1.56,0.9,0.84,0.97,0.84,0.89,0.69,0.99,0.97,0.71,0.94
a_1,0.83,0.9,0.82,0.9,0.79,2.78,0.95,1.03,0.93,0.84,1.06,0.91,1.11,1.13,0.76,0.92
h_1,0.82,1.15,0.98,0.86,0.8,0.66,1.68,0.85,1.41,0.97,1.07,1.02,0.83,1.06,1.14,1.29
d_0,0.78,0.78,0.7,1.42,0.98,0.78,1.07,1.39,1.0,0.69,1.01,0.99,1.02,1.07,1.15,1.05
g_1,0.79,0.76,1.3,0.86,0.84,0.85,0.93,0.74,1.96,1.07,1.53,0.93,0.93,1.26,1.02,0.84
c_0,0.91,0.95,0.99,0.72,0.61,0.81,1.12,1.11,1.11,1.57,1.2,2.05,1.11,1.1,1.66,1.22
f_0,0.71,0.7,0.97,1.01,0.96,0.92,1.12,0.99,1.29,1.08,1.62,1.16,1.09,2.11,1.14,1.11
b_0,0.89,0.95,0.91,0.98,0.66,0.49,1.19,1.1,1.17,0.96,1.09,1.77,1.11,1.2,2.21,1.15
h_0,0.75,1.08,1.0,0.84,0.86,0.89,0.87,1.03,1.38,1.0,1.07,1.0,0.9,1.1,0.98,1.24
e_0,0.64,0.94,0.98,0.95,0.82,0.8,1.19,0.97,1.36,1.1,1.04,1.12,1.3,2.16,1.43,1.21
a_0,0.93,0.87,1.01,0.88,0.84,0.67,1.21,1.05,1.22,1.12,1.08,1.11,0.96,0.99,1.95,1.08
g_0,0.69,0.8,1.34,0.75,0.87,0.83,1.01,0.81,1.0,1.18,1.52,1.04,0.99,1.22,1.16,0.99
