,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,2.1,0.63,1.32,0.77,0.64,0.61,0.93,0.81,0.95,0.82,0.56,0.81,0.92,0.93,1.02,0.61
d_1,0.83,2.21,0.74,0.59,0.72,0.62,0.9,1.03,0.65,1.74,1.05,1.27,1.11,1.01,1.07,1.04
e_1,0.81,0.64,2.13,0.86,0.71,0.77,0.94,0.91,1.59,0.92,0.98,1.04,1.05,0.92,1.01,0.67
c_1,0.75,0.77,0.65,2.24,1.38,0.58,0.95,0.81,0.82,0.48,0.89,0.73,0.98,0.94,0.87,0.93
b_1,0.77,0.73,0.71,0.77,2.39,1.46,1.01,0.91,0.86,0.85,0.98,0.58,0.86,1.0,0.63,1.08
a_1,0.8,0.89,0.69,0.85,0.61,3.55,0.89,1.08,0.95,0.97,1.14,1.06,1.02,0.95,0.57,1.05
h_1,1.11,0.83,0.73,0.95,0.74,0.71,2.04,1.2,1.03,0.94,0.98,1.09,0.72,1.41,1.02,1.29
g_1,0.68,1.33,0.74,0.83,0.73,0.79,0.9,2.37,0.83,1.14,1.56,1.15,1.04,0.76,0.89,1.24
d_0,0.8,0.67,0.76,1.51,0.85,0.66,1.05,1.0,1.66,0.72,0.87,1.0,0.94,1.07,1.22,1.04
c_0,0.84,0.95,0.74,0.65,0.68,0.88,1.1,1.23,1.16,1.82,1.32,2.04,1.15,1.18,1.5,1.41
f_0,0.59,1.07,0.67,0.88,0.87,0.88,1.17,1.25,0.99,1.22,1.96,1.17,1.2,1.07,1.23,2.37
b_0,0.95,1.05,0.74,0.96,0.56,0.71,1.07,1.01,1.07,1.0,1.17,1.9,1.33,1.16,2.31,1.28
h_0,1.17,0.95,0.79,0.76,0.8,0.74,0.73,1.31,0.95,0.99,1.11,1.12,0.76,1.37,1.09,1.02
g_0,0.66,1.31,0.78,0.8,0.72,0.73,1.09,0.95,0.91,1.16,1.63,1.14,0.95,0.83,1.25,1.27
a_0,0.86,1.09,0.79,0.85,0.75,0.53,1.24,1.12,1.16,0.99,1.26,1.02,1.22,1.24,2.51,1.02
e_0,0.84,1.09,0.38,1.02,0.88,0.88,1.29,1.19,0.96,1.07,1.17,1.22,1.21,1.34,1.2,2.57
