,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,2.05,0.85,0.74,0.61,0.61,0.69,1.01,0.85,1.68,0.6,1.31,1.07,1.1,1.12,1.07,1.15
f_1,0.7,2.08,1.22,0.66,0.71,0.57,0.96,0.89,0.91,1.04,0.93,0.64,1.08,0.96,0.58,0.94
e_1,0.7,0.81,2.22,0.98,0.74,0.63,0.87,0.85,0.92,1.64,1.05,0.87,0.95,0.94,0.65,0.88
c_1,0.77,0.71,0.63,2.31,1.27,0.84,0.91,0.97,0.44,0.87,0.59,0.97,0.83,0.92,0.97,0.94
b_1,0.75,0.71,0.71,0.79,2.6,1.48,0.84,0.92,0.84,0.88,0.58,0.9,0.73,0.88,0.94,0.91
a_1,0.75,0.78,0.69,0.85,0.85,3.47,1.12,1.03,0.86,0.97,0.88,1.14,0.55,1.0,1.21,1.06
h_1,0.96,1.14,0.76,0.75,0.61,0.68,2.05,1.3,1.06,0.94,1.21,1.09,1.0,0.86,1.24,1.33
g_1,1.26,0.74,0.7,0.7,0.68,0.72,1.01,2.48,0.95,0.85,1.14,1.74,1.17,1.22,1.46,0.84
c_0,1.0,0.89,0.95,0.65,0.66,0.71,0.99,1.15,1.72,0.98,2.04,1.23,1.38,0.99,1.26,1.04
d_0,0.62,0.77,0.84,1.58,0.84,0.81,0.94,1.0,0.6,1.56,0.88,0.97,1.03,1.04,0.94,0.84
b_0,0.95,0.97,0.78,1.03,0.56,0.57,1.08,1.09,1.06,1.03,1.84,1.06,2.01,1.21,1.11,1.06
f_0,1.05,0.62,0.64,0.89,0.89,0.79,1.17,1.23,1.21,0.93,1.11,2.13,1.16,1.09,2.57,1.31
a_0,0.94,0.91,0.82,0.96,0.79,0.6,1.09,1.07,1.01,0.93,1.17,1.06,2.16,1.33,1.04,1.06
h_0,0.95,1.15,0.86,0.82,0.73,0.69,0.76,1.38,0.98,0.99,1.02,1.03,1.07,0.77,0.99,1.22
e_0,0.98,0.84,0.59,0.92,1.02,0.83,1.12,1.14,1.11,0.91,1.04,1.09,1.14,1.29,2.62,1.06
g_0,1.42,0.75,0.72,0.85,0.71,0.61,1.09,0.84,1.21,0.88,1.15,1.51,0.94,1.11,1.3,0.81
