,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,b_0,c_0,f_0,a_0,h_0,e_0,g_0
e_1,1.49,0.17,0.15,0.16,0.16,0.18,0.17,0.19,0.34,0.16,0.18,0.15,0.18,0.15,,0.24
f_1,0.26,1.52,0.2,0.16,0.17,0.13,0.17,0.17,0.23,0.21,0.23,,0.11,0.21,0.11,0.13
c_1,0.17,0.15,1.54,0.18,0.22,0.12,0.24,0.19,0.19,0.19,,0.25,0.16,0.21,0.14,0.21
d_1,0.16,0.17,0.16,1.54,0.18,0.16,0.21,0.19,,0.27,0.38,0.17,,0.17,0.22,0.11
b_1,0.19,0.18,0.17,0.12,1.58,0.21,0.19,0.19,0.19,,0.26,0.14,0.17,0.23,0.16,0.31
a_1,0.18,0.18,0.2,0.16,0.14,1.69,0.27,0.19,0.24,0.2,0.2,0.21,,0.23,,0.19
h_1,0.41,0.48,0.25,0.45,0.41,0.28,1.64,0.53,0.45,0.37,0.37,0.42,0.42,,0.52,0.61
g_1,0.39,0.39,0.4,0.52,0.27,0.33,0.44,1.72,0.4,0.55,0.47,0.68,,0.49,0.41,
d_0,0.35,0.42,0.75,,0.49,0.37,0.45,0.53,1.45,0.72,0.45,0.43,0.38,0.69,0.51,0.51
b_0,0.58,0.42,0.39,0.44,,0.32,0.73,0.35,0.39,1.44,0.53,0.59,0.87,0.55,0.48,0.53
c_0,0.51,0.45,,0.3,0.35,0.37,0.66,0.51,0.71,0.79,1.41,0.46,0.54,0.67,0.63,0.47
f_0,0.44,,0.39,0.51,0.65,0.34,0.53,0.47,0.63,0.53,0.54,1.53,0.44,0.58,0.63,0.6
a_0,0.48,0.57,0.5,,0.38,,0.5,,0.7,0.4,0.65,0.53,1.59,0.74,,0.59
h_0,0.62,0.83,0.62,0.62,0.61,0.5,,0.76,0.68,0.66,0.66,0.51,0.64,,0.48,0.82
e_0,,0.58,0.52,0.38,0.46,,0.59,0.52,0.39,0.72,0.42,0.64,,0.9,1.62,0.56
g_0,0.62,0.58,0.56,1.03,0.35,0.59,0.57,,0.61,0.78,0.71,0.87,0.77,0.77,0.54,
