,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,0.94,0.68,0.36,0.37,0.34,0.23,0.25,0.25,0.2,0.2,0.23,0.14,0.23,0.17,0.14,0.19
e_1,0.42,0.94,0.54,0.34,0.38,0.25,0.27,0.46,0.24,0.27,0.23,0.24,0.24,0.17,0.13,0.23
c_1,0.45,0.37,0.94,0.4,0.62,0.3,0.28,0.24,0.22,0.11,0.18,0.21,0.25,0.2,0.19,0.2
d_1,0.52,0.42,0.37,0.95,0.36,0.23,0.29,0.23,0.22,0.45,0.31,0.22,0.27,0.2,0.21,0.2
b_1,0.48,0.42,0.39,0.39,0.94,0.53,0.34,0.3,0.23,0.26,0.14,0.28,0.25,0.18,0.2,0.19
a_1,0.56,0.56,0.5,0.57,0.32,0.93,0.33,0.37,0.35,0.28,0.28,0.29,0.33,0.17,0.2,0.21
h_1,0.92,0.7,0.62,0.73,0.47,0.37,0.75,0.38,0.47,0.39,0.35,0.3,0.29,0.27,0.28,0.43
d_0,0.8,0.62,1.1,0.46,0.6,0.43,0.48,0.66,0.36,0.34,0.4,0.3,0.37,0.3,0.27,0.34
g_1,0.69,0.6,0.72,1.03,0.6,0.38,0.38,0.46,0.73,0.44,0.39,0.57,0.35,0.27,0.35,0.28
c_0,0.93,0.67,0.71,0.66,0.55,0.44,0.49,0.61,0.42,0.67,0.67,0.37,0.52,0.37,0.33,0.37
b_0,0.85,0.82,0.86,0.72,0.4,0.3,0.51,0.55,0.48,0.47,0.67,0.42,0.53,0.59,0.31,0.4
f_0,0.65,0.74,0.84,0.91,0.59,0.46,0.49,0.55,0.37,0.44,0.42,0.65,0.49,0.33,0.6,0.38
h_0,1.11,0.83,0.71,0.87,0.65,0.44,0.39,0.48,0.55,0.43,0.4,0.37,0.35,0.33,0.35,0.47
a_0,0.92,0.93,0.87,0.84,0.63,0.27,0.61,0.48,0.48,0.44,0.35,0.44,0.46,0.61,0.41,0.39
e_0,0.99,0.5,0.87,0.94,0.79,0.4,0.61,0.59,0.43,0.46,0.51,0.32,0.52,0.4,0.62,0.44
g_0,0.95,0.68,0.88,1.09,0.73,0.66,0.42,0.44,0.37,0.48,0.41,0.57,0.5,0.39,0.38,0.32
