,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,g_0,e_0
e_1,89.19,59.1,81.29,147.63,175.91,415.88,9698.67,32813.13,25478.92,28711.06,40548.58,67657.86,160328.91,177551.11,271195.24,186955.0
f_1,75.81,96.13,85.59,111.98,158.25,411.26,8283.81,20961.28,22145.64,27424.37,33550.62,44661.09,115228.14,165275.76,225703.32,135673.33
d_1,48.66,54.1,133.82,83.45,132.65,408.82,8091.94,14097.29,34357.86,26259.17,32851.97,53261.66,126187.39,146708.79,193421.29,196621.61
c_1,37.88,48.34,74.26,164.71,231.07,325.34,7023.45,14460.09,13406.82,21341.34,20243.24,42383.99,102254.45,128978.81,179100.37,176703.55
b_1,36.74,44.94,62.52,63.72,231.28,576.74,6024.94,14937.93,18093.34,19411.89,19297.33,34324.07,96328.89,81203.71,158393.56,141843.28
a_1,29.55,34.11,44.32,64.4,69.58,517.9,5066.6,10635.31,10959.47,16813.36,18456.91,27244.76,66655.75,56833.27,130504.13,104960.42
h_1,12.59,17.98,21.88,27.95,43.89,109.97,2971.75,5229.26,5047.2,8461.88,8390.23,13433.0,31684.86,33035.19,70614.3,49200.83
d_0,8.72,11.34,14.57,35.32,35.64,80.51,1685.62,5052.21,3733.12,5174.15,6620.01,11644.43,24592.43,28989.69,42387.31,41257.27
c_0,10.15,11.85,14.37,19.16,25.1,90.06,1962.43,4193.42,5720.36,5201.81,10310.04,11687.34,28553.96,36258.34,43179.55,35617.13
g_1,8.67,8.84,19.05,19.76,25.22,68.3,1395.67,3454.09,4695.27,7903.42,6034.0,14049.62,20189.39,28096.72,29167.65,39802.86
b_0,8.04,11.2,15.37,20.93,23.53,59.51,1563.48,3046.12,3574.08,5124.23,7641.49,9622.23,23531.23,44622.85,36652.99,36179.42
f_0,5.39,7.54,13.47,17.57,29.17,72.8,1344.15,2968.53,3648.83,3797.14,4899.9,10995.63,21696.99,22912.56,27650.23,53529.45
h_0,5.61,8.42,10.18,13.24,17.54,48.99,851.58,2346.63,2605.42,3689.64,4381.74,5613.12,12945.23,17518.3,30514.74,22218.68
a_0,5.55,5.92,9.22,11.5,20.89,37.86,1012.48,2270.72,2328.36,2746.5,3057.45,5488.82,14767.13,24495.47,21607.69,19837.61
g_0,3.78,4.89,11.48,10.72,18.18,39.6,741.68,1689.79,2438.13,2541.62,3466.87,7695.61,12369.27,15745.2,19501.31,26898.07
e_0,4.05,6.73,7.34,10.62,17.87,47.76,847.4,1919.81,2204.33,2553.35,2943.7,4746.88,13401.54,14483.46,17111.76,29169.29
