,d_1,e_1,f_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,g_0,a_0,e_0
d_1,1.06,2.64,2.25,2.31,2.06,1.73,0.75,0.53,0.71,1.02,0.66,0.55,0.52,0.39,0.53,0.46
e_1,2.18,1.06,1.42,2.63,2.19,1.9,1.18,1.05,0.71,0.88,0.79,0.67,0.56,0.53,0.65,1.04
f_1,2.31,2.69,1.07,2.2,1.91,1.94,0.72,0.81,0.59,0.61,0.65,0.93,0.4,0.48,0.54,0.59
c_1,2.88,2.02,2.46,1.06,2.74,2.0,1.04,1.0,1.09,0.46,0.54,0.59,0.54,0.63,0.54,0.68
b_1,2.69,2.71,3.45,1.66,1.07,2.84,0.87,0.92,1.0,0.94,1.29,0.84,0.65,0.68,0.62,0.61
a_1,4.0,3.42,3.9,3.95,2.03,1.07,1.6,1.33,1.16,1.21,1.44,1.22,1.03,0.73,2.81,0.98
h_1,6.02,5.12,6.16,5.48,6.6,5.12,1.33,2.57,1.74,1.63,1.72,1.66,1.77,1.45,1.61,1.64
g_1,8.0,6.49,7.82,6.38,7.44,6.13,1.95,1.35,2.0,1.94,1.95,2.09,1.18,1.92,1.88,1.69
c_0,4.48,6.83,8.52,11.86,7.2,5.45,2.56,2.96,1.52,2.74,2.5,1.87,1.84,1.55,2.13,1.75
d_0,8.66,4.44,8.02,8.55,7.53,5.87,2.86,4.06,2.05,1.54,1.89,2.0,1.77,1.65,2.1,1.95
b_0,6.6,6.64,8.04,12.47,9.43,5.91,3.13,2.91,1.36,2.64,1.52,2.02,1.69,1.56,3.13,1.78
f_0,8.25,7.94,10.99,10.69,8.43,6.67,3.44,2.56,2.81,2.79,2.72,1.59,2.2,1.29,2.28,2.71
h_0,8.81,9.98,11.73,9.28,8.94,7.1,5.07,4.17,2.53,2.78,2.81,2.45,2.88,2.38,1.91,2.32
g_0,10.5,11.14,12.87,10.75,9.96,11.14,3.08,5.4,3.1,3.2,3.21,3.4,1.97,2.9,3.05,3.15
a_0,11.13,10.66,12.29,11.42,15.43,10.71,3.82,3.48,2.8,3.29,1.68,2.87,3.48,2.14,1.62,2.71
e_0,12.26,13.98,13.51,9.7,11.53,9.14,3.99,3.73,3.28,3.39,3.48,2.08,2.48,2.17,3.15,1.62
