,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,0.88,0.09,0.07,0.08,0.06,0.06,0.08,0.06,0.15,0.06,0.08,0.06,0.07,0.05,0.01,0.06
f_1,0.15,0.88,0.08,0.08,0.05,0.04,0.07,0.06,0.08,0.08,0.01,0.07,0.08,0.04,0.04,0.06
d_1,0.08,0.09,0.88,0.06,0.06,0.04,0.09,0.07,0.02,0.16,0.06,0.1,0.08,0.05,0.04,0.06
c_1,0.09,0.09,0.07,0.88,0.14,0.03,0.07,0.07,0.08,0.02,0.07,0.05,0.07,0.04,0.05,0.05
b_1,0.09,0.09,0.07,0.07,0.87,0.1,0.07,0.07,0.09,0.06,0.07,0.01,0.08,0.04,0.04,0.06
a_1,0.09,0.08,0.09,0.11,0.07,0.87,0.06,0.05,0.1,0.09,0.07,0.06,0.07,0.01,0.04,0.06
h_1,0.14,0.22,0.17,0.14,0.12,0.06,0.52,0.16,0.12,0.1,0.12,0.11,0.05,0.09,0.08,0.11
g_1,0.16,0.12,0.24,0.12,0.11,0.08,0.11,0.52,0.12,0.13,0.18,0.1,0.11,0.1,0.11,0.05
d_0,0.16,0.18,0.04,0.3,0.12,0.08,0.13,0.06,0.36,0.09,0.09,0.09,0.15,0.08,0.08,0.09
c_0,0.18,0.19,0.2,0.05,0.07,0.1,0.14,0.1,0.15,0.38,0.14,0.23,0.13,0.07,0.09,0.14
f_0,0.14,0.06,0.21,0.16,0.13,0.09,0.12,0.13,0.14,0.11,0.39,0.14,0.13,0.08,0.21,0.11
b_0,0.16,0.23,0.15,0.13,0.04,0.07,0.14,0.11,0.13,0.13,0.11,0.39,0.16,0.17,0.07,0.11
h_0,0.16,0.23,0.19,0.15,0.12,0.06,0.03,0.13,0.09,0.12,0.1,0.09,0.06,0.07,0.06,0.14
a_0,0.16,0.18,0.19,0.17,0.11,,0.14,0.09,0.13,0.14,0.14,0.14,0.17,0.33,0.08,0.07
e_0,0.04,0.21,0.19,0.16,0.15,0.05,0.17,0.13,0.14,0.17,0.12,0.15,0.14,0.07,0.38,0.12
g_0,0.15,0.11,0.29,0.14,0.08,0.08,0.15,0.05,0.11,0.1,0.21,0.11,0.15,0.08,0.1,0.04
