,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,1.01,1.98,1.57,1.99,1.72,0.55,0.39,0.36,0.53,0.38,0.44,0.29,0.37,1.0,0.32
f_1,1.69,0.42,1.92,1.84,1.53,1.53,0.37,0.36,0.31,0.69,0.36,0.64,0.18,0.37,0.29,0.28
c_1,1.43,1.95,0.42,2.08,1.86,1.76,0.53,0.22,0.64,0.48,0.34,0.3,0.23,0.32,0.34,0.26
d_1,2.23,1.59,1.84,0.42,1.81,1.51,0.46,0.82,0.35,0.29,0.35,0.36,0.25,0.32,0.33,0.17
b_1,2.29,2.39,1.0,1.64,0.39,2.69,0.6,0.46,0.63,0.69,0.9,0.37,0.31,0.4,0.38,0.26
a_1,2.11,2.7,2.59,2.37,1.12,0.34,0.74,0.49,0.43,0.64,0.6,0.49,0.34,0.83,0.48,0.38
h_1,2.63,2.98,3.14,2.77,2.71,2.36,0.32,0.66,0.58,0.87,0.59,0.53,0.64,0.55,0.48,0.4
d_0,1.62,3.44,3.27,5.75,3.89,2.99,0.95,0.38,0.63,0.94,0.67,0.57,0.51,0.56,0.7,0.63
c_0,2.8,3.21,6.6,1.72,3.04,3.51,0.9,0.87,0.37,0.91,0.59,0.67,0.53,0.74,0.56,0.43
g_1,2.97,3.24,3.73,2.94,3.23,3.02,0.63,0.77,0.68,0.3,0.65,0.57,0.4,0.53,0.58,0.62
b_0,2.98,3.58,4.9,2.73,6.86,3.25,0.96,0.71,0.34,0.91,0.33,0.66,0.44,0.65,0.6,0.49
f_0,3.11,6.52,3.17,3.4,3.53,3.01,1.07,0.67,0.8,0.61,0.76,0.34,0.6,0.7,0.68,0.33
h_0,4.09,4.05,4.05,3.82,4.0,3.79,1.63,0.78,0.69,1.17,0.74,0.85,0.79,0.58,0.69,0.7
a_0,3.63,3.52,3.74,5.11,5.71,6.98,1.33,0.99,0.75,1.45,0.47,0.93,0.59,0.33,0.84,0.54
e_0,5.05,6.23,4.06,4.39,4.51,3.39,0.91,0.82,0.72,1.15,0.86,0.43,0.61,0.86,0.31,0.49
g_0,4.23,4.19,3.96,4.46,4.33,4.48,0.86,0.9,0.79,2.03,0.85,0.81,0.45,0.85,0.86,0.74
