,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,14.8,0.57,0.56,0.72,0.57,0.5,0.9,0.94,2.02,0.82,0.95,0.98,0.89,1.06,0.53,0.98
f_1,1.43,15.0,0.48,0.51,0.42,0.45,0.83,0.72,0.84,0.7,0.51,0.89,0.92,0.94,0.44,0.77
d_1,0.42,0.64,19.98,0.47,0.53,0.67,0.89,0.85,0.35,2.42,0.82,1.05,0.86,0.91,1.15,0.93
c_1,0.47,0.54,0.55,18.67,1.33,0.47,0.91,0.76,0.81,0.31,0.8,0.63,0.97,0.7,0.82,0.93
b_1,0.49,0.53,0.5,0.57,19.91,1.29,0.91,0.93,0.88,0.87,1.07,0.43,0.89,0.69,1.08,0.82
a_1,0.55,0.62,0.6,0.59,0.5,30.18,0.72,0.75,0.86,0.95,0.94,1.1,1.36,0.6,0.79,0.99
h_1,0.6,1.06,0.88,0.56,0.71,0.63,4.8,1.74,0.95,1.17,1.19,1.16,0.72,1.35,1.4,1.53
g_1,0.57,0.59,1.59,0.67,0.59,0.71,0.97,6.03,0.8,1.12,2.32,1.32,1.25,1.33,1.51,0.81
d_0,0.57,0.75,0.33,2.3,0.83,0.77,1.03,1.11,3.17,0.72,1.2,1.38,0.98,0.92,1.22,1.21
c_0,0.62,0.91,0.83,0.39,0.53,0.82,1.21,1.27,1.18,3.24,1.33,3.82,1.29,1.4,1.89,1.49
f_0,0.54,0.45,0.88,0.8,0.73,0.67,1.23,1.38,1.1,1.31,3.96,1.42,1.56,1.42,4.15,1.43
b_0,0.7,0.86,0.78,0.79,0.35,0.61,1.2,1.1,1.24,0.9,1.54,3.4,1.44,3.32,1.55,1.78
h_0,0.62,1.3,0.85,0.85,0.63,0.53,0.84,1.57,0.9,1.09,1.2,1.22,0.72,1.15,1.34,1.78
a_0,0.63,0.99,0.95,0.68,0.68,0.24,1.55,1.08,0.95,1.29,1.78,1.09,1.99,4.48,1.52,1.5
e_0,0.41,0.75,0.91,0.93,0.77,0.86,1.34,1.32,1.15,1.27,1.01,1.24,1.33,1.17,4.81,1.46
g_0,0.56,0.52,1.55,0.78,0.72,0.65,1.34,0.92,1.02,1.06,2.3,1.19,1.21,1.06,1.51,0.99
