,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,24.62,0.22,0.33,0.41,0.34,0.27,0.79,1.59,0.66,0.81,0.84,1.01,0.87,0.91,0.36,0.73
d_1,0.31,26.1,0.38,0.27,0.34,0.33,0.71,0.21,0.73,1.6,0.74,1.09,0.81,0.79,0.94,1.08
f_1,0.58,0.34,25.31,0.34,0.34,0.32,0.66,0.78,0.58,0.75,0.93,0.13,0.98,0.95,0.66,0.78
c_1,0.3,0.34,0.33,27.7,0.75,0.34,0.73,0.85,0.62,0.09,0.64,0.68,0.73,0.77,0.73,1.11
b_1,0.29,0.37,0.38,0.28,31.72,0.78,0.7,0.72,0.83,0.74,0.17,0.8,0.91,0.46,0.8,0.74
a_1,0.43,0.35,0.35,0.43,0.29,48.35,0.61,0.53,0.73,0.78,0.68,0.65,0.94,0.14,0.75,0.82
h_1,0.54,0.73,0.9,0.6,0.61,0.62,9.28,1.16,1.52,1.16,1.63,1.22,0.38,1.37,1.69,1.54
d_0,0.72,0.19,0.68,1.55,0.45,0.7,1.58,4.94,1.34,1.12,1.77,1.15,1.82,1.5,1.25,1.41
g_1,0.47,1.14,0.48,0.7,0.55,0.62,1.13,1.11,11.49,1.31,1.25,2.51,0.96,1.32,1.23,0.47
c_0,0.57,0.83,0.92,0.17,0.57,0.55,1.41,1.46,1.3,5.8,3.51,1.86,1.94,1.58,1.49,1.71
b_0,0.8,0.85,0.68,0.83,0.21,0.39,1.68,1.55,1.19,1.48,6.34,1.49,2.06,3.23,1.36,1.33
f_0,0.62,0.75,0.18,0.68,0.6,0.71,1.54,1.43,1.83,2.03,1.95,7.49,1.41,1.87,3.94,1.54
h_0,0.58,0.84,0.84,0.83,0.41,0.67,0.4,1.5,1.69,0.93,1.18,1.28,0.72,1.7,1.6,2.53
a_0,0.67,0.78,0.72,0.72,0.57,,1.33,1.49,1.93,1.45,1.77,1.56,2.49,7.74,1.93,1.17
e_0,0.2,0.78,0.75,0.64,0.49,0.64,2.03,2.54,1.9,1.73,2.15,1.49,2.49,1.98,9.87,2.46
g_0,0.42,1.08,0.7,0.54,0.62,0.67,1.41,1.33,0.6,1.69,1.63,2.0,2.09,1.15,1.65,0.58
