,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,14.52,0.57,0.5,0.82,0.52,0.57,0.88,0.85,2.06,0.95,0.98,0.88,1.15,1.07,0.43,0.74
f_1,1.22,16.15,0.53,0.52,0.45,0.51,0.79,0.61,0.77,0.82,0.93,0.35,0.74,0.75,0.64,0.84
d_1,0.45,0.59,19.32,0.42,0.52,0.56,1.01,0.98,0.49,2.28,1.25,1.11,0.95,0.92,1.07,1.23
c_1,0.5,0.5,0.6,17.85,1.35,0.49,0.87,0.83,0.76,0.32,0.59,0.81,0.87,0.81,0.93,0.83
b_1,0.5,0.64,0.56,0.51,20.4,1.29,0.76,0.98,0.78,0.55,0.36,0.93,0.59,1.1,0.83,0.95
a_1,0.51,0.62,0.53,0.55,0.59,30.62,0.94,0.98,0.72,0.96,1.01,0.96,0.63,1.12,1.23,0.97
h_1,0.58,1.19,0.79,0.75,0.65,0.55,4.97,1.77,0.88,0.99,1.14,1.23,1.13,0.62,1.23,1.89
g_1,0.64,0.51,1.37,0.82,0.66,0.55,1.15,6.13,1.2,1.04,1.05,2.14,1.12,1.38,1.26,0.65
d_0,0.75,0.65,0.43,1.94,0.71,0.65,1.15,1.12,2.88,0.78,1.05,1.21,1.16,1.17,1.41,1.09
c_0,0.77,0.7,0.82,0.5,0.57,0.65,1.2,1.16,1.29,3.56,3.85,1.77,1.75,1.61,1.34,1.4
b_0,0.75,0.79,0.79,0.85,0.39,0.51,1.15,1.14,1.27,1.24,4.18,1.45,3.73,1.44,1.33,1.19
f_0,0.56,0.37,0.82,0.77,0.56,1.15,1.07,1.15,1.61,1.5,1.16,4.49,1.57,1.63,4.18,1.46
a_0,0.73,0.9,0.81,0.68,0.84,0.37,1.39,0.95,1.21,1.2,1.36,1.56,3.49,1.37,1.69,1.39
h_0,0.62,1.26,0.86,0.82,0.64,0.71,0.64,1.15,1.0,0.98,1.17,1.07,0.94,0.7,1.54,1.75
e_0,0.46,0.95,0.83,0.85,0.66,0.76,1.69,1.12,1.0,1.06,1.24,1.44,1.14,1.32,4.48,1.58
g_0,0.48,0.71,1.87,0.74,0.55,0.61,1.06,0.85,0.87,1.32,1.08,2.45,0.99,1.15,1.54,0.8
