,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,10584.77,150.11,118.64,246.83,442.57,2675.49,207175.17,382152.31,,1230688.77,767845.39,1630546.35,6524350.38,5136068.95,13889111.7,9780846.2
f_1,112.96,11880.57,285.87,378.86,396.25,1851.95,200531.55,319937.4,499027.75,612629.23,836382.08,,6986505.85,5053313.0,15073262.69,5242380.18
e_1,154.65,158.05,12120.67,292.58,412.02,2101.75,178312.73,356885.16,987248.69,615040.48,890563.33,1906047.71,4364269.18,3652705.69,10808992.54,
c_1,115.4,115.58,150.87,30081.56,766.73,1454.16,255231.99,485063.8,671503.19,,579779.81,1939503.55,5233885.87,4380537.47,12962773.59,12049633.19
b_1,164.41,159.5,172.83,327.86,43794.43,,171057.36,323012.85,552513.68,552248.42,,2016400.83,5239865.28,,13416824.07,9898173.69
a_1,144.7,190.55,172.73,303.51,,249207.72,252721.95,,647402.05,625521.52,652132.53,1797545.18,5136142.54,,11872646.36,
h_1,501.95,761.79,557.34,1424.46,1647.92,4861.72,10229973.98,2197501.68,2215508.08,2275183.45,2404766.83,5458785.6,,19178665.51,70580110.44,26720137.82
g_1,870.7,536.23,566.4,1501.93,1905.7,,685808.31,21157341.76,1830048.57,2546204.58,3412961.36,7747372.46,21681152.92,,,
d_0,,759.57,774.63,2882.38,2357.38,7963.82,1312299.87,1295347.45,17267121.84,2923310.1,4749621.64,8984643.15,31519393.69,19991966.98,65013411.54,62021400.85
c_0,752.53,658.84,524.93,,2352.29,9498.19,1044501.85,1461317.9,3541391.29,19252772.93,7881963.04,9254452.25,32465922.03,26011359.6,57729108.82,66439261.6
b_0,775.18,780.37,659.42,1804.99,,6545.53,1097850.87,2132935.27,2897606.66,3063173.81,32376372.99,5010947.32,32453739.7,32863132.38,60015744.75,38741693.25
f_0,772.78,,723.32,1329.11,2613.95,8813.36,1136663.78,1864440.08,3012217.88,3608911.68,4681379.95,66515045.91,25490485.2,23507392.52,50084978.55,104329026.17
h_0,1028.19,1922.27,1143.57,1783.12,3778.41,12764.45,,3064848.57,4163617.05,5963353.91,5498069.29,12000516.36,,33729683.6,111390203.81,59644879.88
a_0,572.06,945.67,895.54,2221.51,,,1058273.17,,3356471.35,3143245.65,4904302.81,8096506.01,34139042.68,236456712.96,60607032.87,
g_0,1646.21,1100.12,1522.63,2186.74,3330.47,11534.39,1289738.84,,3303945.57,5049607.63,5186629.17,22369787.74,39714760.26,22750623.26,,
e_0,857.82,681.6,,1217.18,2068.74,,1196488.18,,2605304.23,2843013.61,6615985.31,9611641.64,38906530.05,,,577241519.79
