,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.73,0.61,0.58,0.74,0.66,0.57,0.85,0.97,0.8,1.5,0.91,0.99,1.0,1.03,0.37,1.11
f_1,1.09,2.82,0.51,0.6,0.62,0.52,0.81,0.69,0.79,0.85,0.87,0.33,0.88,0.8,0.61,0.75
d_1,0.51,0.67,3.12,0.51,0.46,0.72,0.93,1.02,1.85,0.4,1.11,1.04,1.07,1.23,1.04,1.23
c_1,0.49,0.63,0.56,3.3,1.13,0.54,0.85,0.93,0.28,0.97,0.77,0.9,0.94,0.67,1.16,0.84
b_1,0.6,0.66,0.56,0.57,3.52,1.05,0.76,0.74,0.97,0.97,0.4,0.87,0.86,0.73,1.09,0.8
a_1,0.66,0.57,0.73,0.65,0.46,4.86,1.21,0.78,0.88,0.88,1.18,1.01,1.02,0.48,1.05,0.78
h_1,0.78,0.95,0.86,0.68,0.54,0.67,3.13,1.35,1.18,0.91,0.99,1.3,0.65,1.2,1.02,1.76
g_1,0.68,0.54,1.28,0.63,0.69,0.65,1.01,3.45,1.04,0.97,1.24,2.14,1.09,0.97,1.23,0.55
c_0,0.7,0.93,0.96,0.42,0.61,0.63,1.09,0.97,2.3,0.98,2.04,1.29,1.16,1.39,1.33,1.32
d_0,0.74,0.89,0.31,1.5,0.76,0.67,1.13,1.02,0.71,2.23,1.04,1.14,1.32,0.88,1.21,0.89
b_0,0.77,0.76,0.96,0.79,0.44,0.5,1.13,1.14,1.19,1.13,2.71,1.35,1.19,2.5,0.99,1.31
f_0,0.62,0.52,0.87,0.92,0.72,0.67,1.13,1.12,1.16,1.13,1.27,2.81,1.36,1.19,2.48,1.26
h_0,0.75,1.15,0.91,0.73,0.58,0.5,0.62,1.51,0.88,1.14,1.36,0.99,0.82,1.53,1.31,1.49
a_0,0.8,0.76,0.84,0.71,0.62,0.37,1.44,1.15,1.3,1.25,1.21,1.23,1.31,3.43,1.29,1.49
e_0,0.32,1.02,0.86,0.95,0.72,0.66,1.44,1.1,1.09,1.18,1.11,0.97,1.44,0.83,3.59,1.24
g_0,0.6,0.58,1.44,0.71,0.62,0.7,0.94,0.89,1.15,0.92,1.44,1.77,1.3,1.29,1.16,0.81
