,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.44,1.68,1.95,1.9,2.26,1.92,0.42,0.68,0.41,0.37,0.35,0.66,0.33,0.19,0.36,0.38
e_1,1.18,0.44,2.31,1.9,2.28,2.0,0.67,0.63,0.5,0.45,0.44,0.53,0.43,0.32,0.31,0.82
d_1,2.01,2.46,0.42,2.27,1.9,1.79,0.56,0.32,0.94,0.4,0.44,0.38,0.4,0.3,0.2,0.44
c_1,1.89,1.87,2.5,0.41,2.07,2.24,0.6,0.55,0.23,0.9,0.39,0.38,0.38,0.29,0.31,0.34
b_1,2.32,2.58,2.52,1.24,0.38,2.18,0.81,0.86,0.54,0.59,0.9,0.52,0.6,0.4,0.38,0.56
a_1,3.38,2.97,2.13,3.29,1.28,0.34,0.88,0.87,0.57,0.61,0.62,0.47,2.4,0.54,0.36,0.59
h_1,3.63,2.64,3.43,3.63,3.53,2.75,0.33,1.07,0.68,0.71,0.7,0.64,0.68,0.97,0.45,0.64
g_1,4.16,3.67,3.42,4.37,3.85,3.4,0.78,0.31,0.76,0.72,0.77,0.72,0.69,0.38,0.92,0.69
d_0,4.1,2.04,9.7,3.96,3.71,3.95,0.92,1.78,0.4,0.83,0.74,0.69,0.81,0.65,0.53,0.66
c_0,4.89,3.53,1.83,9.96,4.95,3.64,0.94,1.19,1.08,0.38,0.84,0.78,0.86,0.62,0.6,0.65
b_0,4.24,3.31,3.01,5.58,11.32,4.48,1.23,1.18,0.92,0.4,0.39,0.75,0.9,0.62,0.68,0.69
f_0,8.56,3.69,3.63,4.28,3.79,4.24,1.38,0.92,0.87,0.81,1.06,0.35,1.06,0.68,0.4,1.29
a_0,4.79,3.85,4.67,4.45,6.5,8.13,1.42,1.48,0.88,0.77,0.44,0.92,0.33,0.65,0.57,0.72
h_0,5.01,4.65,3.88,4.38,4.64,3.67,2.21,1.28,1.05,0.95,0.8,0.93,0.95,1.04,0.63,0.9
g_0,5.85,4.77,4.8,5.69,5.72,4.86,1.04,2.04,1.12,1.03,1.02,1.05,1.07,0.61,1.16,0.93
e_0,8.41,7.35,4.19,5.95,4.57,5.06,1.2,1.47,0.95,0.99,0.96,0.44,1.49,0.77,0.65,0.3
