,d_1,e_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,e_0,g_0
d_1,1.0,1.13,0.93,0.93,0.9,0.87,0.47,,0.34,0.62,0.44,0.36,0.29,0.42,0.25,0.25
e_1,0.88,1.0,0.67,0.94,0.93,0.8,0.56,0.53,0.5,0.44,0.46,0.43,0.37,0.28,,0.35
f_1,1.08,1.5,1.0,1.0,0.73,1.0,0.42,0.45,0.55,0.42,,0.43,0.25,0.31,0.26,0.33
c_1,1.08,1.06,1.0,1.0,1.12,0.86,0.45,0.31,0.48,,0.37,0.38,0.47,0.35,,0.46
b_1,1.11,1.07,1.36,0.9,1.0,1.1,0.6,0.41,0.49,0.55,0.37,,0.41,0.42,0.42,0.44
a_1,1.15,1.25,1.0,1.16,0.91,1.0,0.73,0.56,0.6,0.68,0.64,0.6,0.53,,,0.43
h_1,2.11,1.79,2.38,2.25,1.66,1.38,1.0,0.96,1.34,0.79,0.72,0.71,,0.66,0.77,0.74
d_0,,1.87,2.24,3.18,2.47,1.79,1.04,1.0,0.88,0.9,0.88,0.76,0.75,0.73,0.67,0.81
g_1,2.92,2.0,1.81,2.1,2.04,1.66,0.75,1.14,1.0,1.25,1.06,1.0,0.81,,0.74,
c_0,1.61,2.25,2.38,,1.82,1.47,1.26,1.11,0.8,1.0,1.04,1.48,0.99,0.65,0.73,0.82
f_0,2.29,2.15,,2.7,2.72,1.57,1.39,1.14,0.94,0.96,1.0,1.06,0.9,0.74,1.19,0.69
b_0,2.78,2.34,2.35,2.63,,1.67,1.4,1.31,1.0,0.68,0.95,1.0,0.93,1.52,0.86,0.73
h_0,3.43,2.73,3.93,2.12,2.43,1.88,,1.33,1.24,1.01,1.11,1.08,,0.92,0.79,0.94
a_0,2.38,3.6,3.24,2.87,2.4,,1.51,1.38,,1.55,1.35,0.66,1.08,1.0,,0.9
e_0,3.95,,3.84,,2.37,,1.29,1.5,1.34,1.37,0.84,1.16,1.27,,1.0,1.06
g_0,4.07,2.89,2.99,2.17,2.25,2.31,1.35,1.24,,1.22,1.45,1.37,1.06,1.11,0.95,
