,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,e_0,a_0,g_0
f_1,14.41,1.38,0.5,0.59,0.46,0.48,0.81,0.81,0.78,0.82,0.89,0.36,0.93,0.51,0.84,0.77
e_1,0.61,15.64,0.49,0.74,0.44,0.54,0.91,0.92,0.71,2.22,1.13,1.18,0.97,0.58,0.92,1.01
d_1,0.55,0.45,17.81,0.43,0.69,0.61,0.86,0.83,2.36,0.34,1.01,1.05,0.91,1.16,0.9,0.99
c_1,0.55,0.49,0.52,18.8,1.29,0.58,0.81,0.85,0.29,0.86,0.7,0.79,0.86,0.8,0.79,0.85
b_1,0.66,0.44,0.68,0.46,19.71,1.15,0.82,0.81,0.76,0.84,0.41,1.01,0.93,0.87,0.71,0.79
a_1,0.68,0.38,0.62,0.62,0.55,32.42,1.14,0.75,1.15,0.8,0.95,0.74,0.93,1.42,0.54,0.93
h_1,1.13,0.62,0.7,0.78,0.73,0.69,4.94,1.36,0.9,0.91,0.97,1.21,0.67,0.93,1.31,2.03
g_1,0.53,0.55,1.49,0.67,0.65,0.71,1.14,6.1,0.9,0.89,1.26,2.29,1.14,1.11,1.15,0.75
c_0,0.82,0.87,0.78,0.45,0.48,0.71,1.15,1.26,2.93,1.24,3.51,1.54,1.5,1.53,1.65,1.4
d_0,0.72,0.72,0.39,2.18,0.65,0.54,1.15,1.15,0.56,2.96,1.07,1.08,1.29,1.33,1.06,1.28
b_0,0.73,0.79,0.69,0.91,0.42,0.6,1.35,1.35,1.05,1.3,3.18,1.36,1.62,1.47,4.0,1.45
f_0,0.36,0.47,1.01,0.96,0.78,0.7,1.1,1.23,1.36,1.22,1.42,3.58,1.68,3.44,1.44,1.34
h_0,1.06,0.89,0.81,0.99,0.49,0.61,0.65,1.69,1.29,1.15,1.17,1.16,0.7,0.95,1.3,1.69
e_0,1.05,0.41,0.84,0.69,0.71,0.91,1.44,1.14,1.2,0.88,1.3,0.91,1.77,5.06,1.61,1.53
a_0,0.74,0.63,0.9,0.75,0.69,0.38,1.41,1.35,1.62,1.0,1.31,1.42,1.51,1.54,4.33,1.91
g_0,0.49,0.65,1.53,0.82,0.58,0.68,0.91,0.88,1.31,0.94,1.45,2.3,1.55,1.57,1.46,0.66
