,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,0.46,20.34,30.3,30.45,34.33,35.96,7.19,13.36,5.88,6.67,5.72,6.74,7.81,4.57,,5.43
f_1,50.06,0.45,36.5,38.26,34.65,28.21,6.51,9.17,5.9,6.54,,7.63,5.96,2.72,5.44,4.08
c_1,46.29,31.06,0.43,45.05,32.2,28.11,11.17,9.75,3.82,,7.72,5.93,8.55,4.28,6.85,3.9
d_1,39.99,33.52,38.59,0.42,35.6,47.17,10.94,5.26,,5.94,9.45,5.63,6.84,4.19,7.49,3.1
b_1,30.31,30.54,26.08,38.79,0.41,34.1,10.37,12.03,5.93,8.01,8.43,,,6.08,5.21,6.25
a_1,60.7,39.69,43.23,54.39,27.91,0.32,12.67,,10.71,12.39,7.55,10.07,,6.76,,
h_1,17.02,19.64,17.48,17.23,14.88,13.89,0.38,5.21,4.05,4.12,2.62,2.87,4.17,,3.35,2.01
g_1,18.96,21.37,19.55,14.69,23.77,,3.76,0.34,6.02,3.87,4.07,2.94,5.49,2.25,3.55,
d_0,6.74,17.58,15.64,,13.67,16.36,3.55,5.51,0.49,3.42,2.62,5.47,4.43,1.86,3.53,2.25
c_0,19.38,20.79,,12.47,15.2,14.37,3.75,3.55,3.28,0.47,3.4,3.84,2.31,2.11,2.92,3.95
f_0,16.24,,14.72,12.25,15.45,24.38,6.13,3.17,4.48,2.95,0.45,3.43,3.06,3.86,3.69,1.5
b_0,21.05,14.62,17.2,14.42,,20.45,5.11,4.51,5.11,1.68,3.62,0.43,5.51,2.73,4.27,1.92
a_0,22.4,27.87,16.67,15.39,,,6.76,5.84,5.41,3.94,2.98,2.81,0.38,1.78,,2.97
h_0,11.69,10.98,11.1,14.44,14.97,12.94,,3.63,2.36,2.3,2.56,3.64,1.97,,2.81,2.02
e_0,,29.05,28.48,18.2,22.98,,5.03,4.52,4.46,4.35,2.74,3.64,,4.32,0.35,3.47
g_0,17.91,16.54,15.13,16.48,12.03,,3.46,,2.36,2.95,3.15,2.55,2.51,1.73,3.66,
