,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.22,1.13,1.31,1.46,2.54,17.8,28.79,27.04,39.76,40.79,52.41,68.76,114.54,86.32,132.09
e_1,0.83,1.0,1.19,1.47,1.49,2.97,23.06,36.55,26.22,41.27,43.82,61.94,83.0,124.51,131.68,137.91
d_1,0.89,0.85,1.0,0.98,1.03,2.26,15.87,20.35,29.59,23.72,38.41,45.32,63.61,83.56,94.16,84.29
c_1,0.78,0.67,1.02,1.0,1.44,2.37,16.97,15.26,23.15,31.47,28.28,44.49,58.16,78.39,91.06,97.48
b_1,0.68,0.67,0.96,0.71,1.0,2.97,16.82,18.74,21.77,31.26,34.64,39.02,58.77,68.61,73.23,94.17
a_1,0.39,0.34,0.44,0.42,0.34,1.0,8.54,10.71,9.73,15.59,18.89,21.59,29.82,41.29,40.57,49.08
h_1,0.06,0.04,0.06,0.06,0.06,0.12,1.0,1.23,1.27,2.12,2.02,2.5,3.54,5.06,5.35,6.61
d_0,0.03,0.03,0.05,0.06,0.05,0.09,0.8,1.0,0.87,1.5,1.5,2.25,2.81,3.67,4.52,4.64
c_0,0.04,0.04,0.03,0.04,0.04,0.09,0.77,1.27,1.0,1.43,2.16,1.88,2.76,4.17,3.94,4.42
g_1,0.02,0.02,0.04,0.03,0.03,0.07,0.46,0.64,0.7,1.0,1.05,1.74,1.91,2.69,3.35,2.95
b_0,0.02,0.02,0.03,0.04,0.03,0.05,0.5,0.65,0.49,0.98,1.0,1.24,1.76,3.28,2.5,2.96
f_0,0.02,0.02,0.02,0.02,0.03,0.05,0.38,0.48,0.52,0.6,0.77,1.0,1.38,1.76,2.59,1.74
h_0,0.01,0.01,0.02,0.02,0.02,0.03,0.29,0.37,0.35,0.54,0.58,0.73,1.0,1.34,1.27,1.75
a_0,0.01,0.01,0.01,0.01,0.01,0.02,0.2,0.25,0.25,0.37,0.32,0.55,0.76,1.0,1.0,1.19
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.23,0.25,0.3,0.41,0.4,0.79,1.06,1.0,1.08
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.15,0.22,0.23,0.33,0.34,0.57,0.56,0.92,1.01,1.0
