,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,g_0,a_0,e_0
e_1,2.45,1.58,1.55,2.05,1.72,1.68,3.27,3.22,5.25,3.37,3.71,3.86,4.58,4.58,3.85,3.62
f_1,2.3,2.48,1.54,1.75,1.51,1.43,3.06,3.12,3.7,3.3,3.67,3.1,3.72,4.22,3.75,3.02
d_1,1.62,1.84,2.59,1.45,1.66,1.65,3.24,3.27,3.08,5.4,4.51,4.23,4.66,4.17,4.2,3.91
c_1,1.47,1.61,1.77,2.61,2.43,1.83,2.96,3.33,3.15,2.82,2.74,3.36,4.69,4.4,3.64,3.53
b_1,1.58,1.73,1.68,1.56,2.74,2.59,3.23,3.02,3.44,3.95,3.16,3.47,4.73,4.52,3.05,4.22
a_1,1.65,1.88,1.67,1.71,1.52,3.31,3.55,3.6,3.76,3.24,3.71,3.52,4.88,5.08,3.48,3.98
h_1,1.67,2.0,1.74,1.82,1.67,1.6,4.28,3.8,3.38,3.44,3.86,4.09,4.02,5.81,4.14,4.32
g_1,1.69,1.67,2.22,1.67,1.67,1.77,3.04,4.71,2.87,3.78,4.04,5.07,4.5,4.49,4.3,4.71
d_0,1.5,1.77,1.63,2.52,1.82,1.68,3.33,3.39,4.4,2.97,3.92,3.71,4.96,4.89,3.89,4.56
c_0,1.76,1.88,1.66,1.72,1.5,1.72,3.66,3.3,4.05,4.62,6.53,3.92,4.81,5.27,4.9,4.32
b_0,1.81,1.8,1.75,1.98,1.74,1.58,3.44,3.4,3.46,3.11,4.85,3.74,4.88,5.05,6.43,4.19
f_0,1.48,1.65,1.83,1.92,1.79,2.12,3.17,3.19,3.75,3.97,4.19,5.1,4.91,5.12,4.49,6.57
h_0,1.79,2.27,1.74,1.69,1.59,1.64,3.0,3.9,3.46,3.62,3.6,3.7,4.23,5.33,3.72,3.85
g_0,1.65,1.74,2.32,1.81,1.6,1.51,3.08,3.0,3.28,3.59,3.68,4.85,4.61,4.56,3.93,3.98
a_0,1.84,1.83,1.63,1.97,1.79,1.74,3.2,3.0,3.77,3.61,3.53,3.56,5.06,4.62,5.66,3.88
e_0,1.43,1.82,1.83,2.05,1.74,1.76,3.5,3.14,3.54,3.68,4.04,3.58,4.72,4.78,4.3,5.69
