,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.1,2.94,2.53,3.57,2.86,2.79,0.64,0.89,0.6,0.7,0.55,0.8,0.56,0.31,0.55,0.5
e_1,1.88,1.1,3.42,3.16,3.84,3.07,0.96,1.12,0.73,0.66,0.67,0.79,0.75,0.49,1.32,0.56
d_1,3.24,4.27,1.1,3.23,2.98,2.8,0.73,0.62,0.59,1.18,0.59,0.57,0.56,0.4,0.54,0.26
c_1,3.46,2.73,3.83,1.11,3.25,2.84,1.04,0.87,1.04,0.41,0.71,0.63,0.67,0.5,0.59,0.52
b_1,4.17,3.5,4.04,1.99,1.11,3.79,1.15,1.26,1.19,0.73,1.38,0.69,0.68,0.7,0.94,0.55
a_1,5.33,5.46,5.17,5.8,3.01,1.14,1.89,1.74,1.16,1.4,1.58,1.2,2.0,0.71,1.16,0.79
h_1,13.23,11.19,11.01,14.23,12.91,10.65,1.65,4.15,2.27,2.34,2.55,2.39,2.06,2.45,2.34,1.62
g_1,16.05,15.51,12.25,18.34,14.05,13.31,3.12,1.6,2.81,3.0,2.76,2.37,2.52,1.34,2.74,2.28
c_0,17.82,16.32,8.2,26.63,14.11,11.83,3.87,4.87,1.88,4.75,3.28,2.7,2.87,2.23,3.63,1.97
d_0,14.65,8.6,23.73,15.88,15.25,15.56,4.44,6.05,3.43,2.03,3.59,3.13,3.19,2.53,3.15,2.98
b_0,16.73,15.17,13.32,26.85,23.23,16.72,4.57,4.57,2.0,3.75,1.97,3.38,3.12,2.32,3.75,2.09
f_0,28.6,18.9,17.11,24.64,18.76,18.39,6.26,3.61,4.08,4.86,3.44,2.24,3.82,3.19,4.0,2.13
a_0,25.33,22.91,19.71,25.8,29.9,28.49,6.98,6.22,3.95,5.17,2.5,4.68,2.3,3.9,4.45,3.44
h_0,25.7,24.02,21.19,26.63,20.41,18.73,8.41,6.46,5.06,5.43,4.44,4.01,3.93,4.96,4.62,3.62
e_0,44.32,34.94,22.62,29.48,24.35,19.45,7.67,6.4,5.4,7.28,5.42,2.53,4.6,3.14,2.18,2.93
g_0,29.55,28.35,27.18,28.71,26.96,22.48,5.71,10.67,5.68,6.22,5.64,6.14,5.87,3.17,5.01,5.62
