,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,0.4,0.63,0.66,0.56,0.57,0.54,0.28,0.24,0.31,0.28,0.36,0.26,0.2,0.24,0.24,0.17
f_1,0.58,0.4,0.63,0.62,0.56,0.54,0.27,0.33,0.26,0.26,0.29,0.28,0.2,0.26,0.24,0.24
e_1,0.57,0.43,0.39,0.69,0.59,0.55,0.34,0.38,0.28,0.27,0.33,0.34,0.25,0.28,0.37,0.25
c_1,0.71,0.62,0.47,0.38,0.67,0.57,0.34,0.34,0.28,0.24,0.17,0.25,0.23,0.28,0.25,0.21
b_1,0.62,0.64,0.59,0.4,0.36,0.76,0.33,0.33,0.34,0.31,0.23,0.27,0.24,0.27,0.27,0.23
a_1,0.63,0.64,0.63,0.58,0.37,0.32,0.35,0.34,0.3,0.36,0.32,0.27,0.26,0.35,0.31,0.24
h_1,0.58,0.61,0.54,0.55,0.58,0.49,0.23,0.33,0.25,0.24,0.24,0.26,0.23,0.24,0.24,0.22
g_1,0.58,0.63,0.53,0.55,0.57,0.53,0.25,0.22,0.25,0.24,0.24,0.26,0.19,0.24,0.24,0.23
c_0,0.4,0.67,0.58,0.71,0.54,0.56,0.31,0.27,0.22,0.32,0.31,0.27,0.23,0.3,0.26,0.23
b_0,0.47,0.62,0.62,0.7,0.63,0.47,0.3,0.29,0.18,0.21,0.27,0.24,0.22,0.27,0.24,0.21
d_0,0.59,0.52,0.39,0.7,0.73,0.51,0.38,0.37,0.24,0.24,0.22,0.28,0.23,0.26,0.31,0.24
f_0,0.57,0.69,0.54,0.57,0.56,0.54,0.3,0.23,0.24,0.25,0.24,0.2,0.21,0.24,0.33,0.16
h_0,0.52,0.62,0.54,0.61,0.57,0.47,0.35,0.29,0.23,0.26,0.26,0.25,0.24,0.23,0.24,0.23
a_0,0.55,0.58,0.57,0.61,0.59,0.5,0.29,0.31,0.22,0.17,0.27,0.27,0.23,0.19,0.23,0.23
e_0,0.55,0.74,0.63,0.61,0.54,0.54,0.3,0.26,0.24,0.24,0.23,0.15,0.19,0.26,0.18,0.2
g_0,0.59,0.59,0.57,0.55,0.53,0.54,0.24,0.34,0.24,0.27,0.26,0.27,0.17,0.22,0.23,0.23
