,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,112.33,13.32,10.78,15.91,25.57,74.11,2033.28,2374.68,6691.73,3781.49,4427.36,8642.34,24572.23,14174.05,,55961.36
d_1,11.64,122.14,13.54,17.42,23.36,56.48,2633.15,2175.55,,5944.2,5979.05,7872.55,16995.05,21463.64,26989.9,42984.19
f_1,18.46,12.71,122.53,17.98,21.93,82.58,1773.07,2178.48,3957.82,4303.67,4319.38,,20785.74,28117.44,22246.62,48098.08
c_1,13.54,11.04,15.71,149.37,31.44,55.08,1941.12,1837.06,3203.25,,3635.0,4979.71,24651.94,23669.13,25014.57,40669.4
b_1,9.92,11.92,11.49,12.7,176.45,92.64,2005.85,2389.11,3803.8,4063.54,,5980.09,20560.0,,25479.49,37551.81
a_1,5.14,9.27,4.75,10.54,10.7,448.45,959.15,1614.28,2432.85,3126.8,2718.03,5734.88,17213.41,,,35201.24
h_1,5.7,4.77,8.67,7.27,8.53,43.64,3421.18,1218.96,1937.46,2082.6,2120.2,2769.14,,8683.14,11589.27,25667.2
g_1,4.92,9.32,5.13,9.27,7.41,19.02,843.74,3885.45,1518.09,1681.49,1650.37,4857.92,9525.17,8803.85,12994.59,
d_0,4.82,,6.77,11.29,9.17,25.14,826.06,1198.94,4469.16,1646.09,1998.36,2905.45,11919.43,9231.23,11615.26,23616.98
c_0,6.52,5.63,6.19,,8.43,22.35,791.53,1007.22,1496.4,4379.31,3858.36,3370.38,12593.8,8598.81,14672.01,14470.46
b_0,5.22,4.86,6.03,8.0,,28.24,785.92,1203.56,1679.83,1376.15,5411.07,2634.34,8416.98,14319.67,13422.4,16362.14
f_0,4.1,5.16,,5.63,7.68,21.69,860.83,672.89,1519.46,1235.7,1836.71,7436.34,8156.58,8178.07,20301.89,17194.94
h_0,3.48,5.94,6.16,5.44,6.58,14.87,,847.85,1113.6,1006.41,1722.54,2464.37,,5072.51,9206.52,21176.3
a_0,3.42,2.37,2.74,5.02,,,640.98,607.33,855.05,1070.64,1066.09,2064.07,7857.81,16794.56,7174.46,12844.36
e_0,,3.95,3.31,3.17,3.93,,557.39,437.78,1146.93,1023.81,1291.8,1230.15,5769.53,5480.42,22500.97,
g_0,2.81,4.24,3.03,4.94,4.28,15.17,485.65,,833.93,1454.5,1444.86,2586.14,5151.51,4824.35,,
