,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
f_1,1.04,1.67,1.42,1.47,1.25,1.08,0.46,0.56,0.48,0.41,0.47,0.41,0.27,0.37,0.33,0.33
e_1,1.13,1.04,1.53,1.71,1.42,1.24,0.58,0.58,0.56,0.45,0.55,0.49,0.34,0.44,0.49,0.34
d_1,1.67,1.81,1.04,1.43,1.39,1.11,0.56,0.42,0.63,0.48,0.41,0.41,0.33,0.36,0.39,0.24
c_1,1.69,1.4,2.0,1.05,1.93,1.54,0.62,0.58,0.34,0.52,0.49,0.42,0.38,0.43,0.43,0.33
b_1,2.19,1.76,2.08,1.22,1.05,2.05,0.74,0.74,0.53,0.69,0.51,0.69,0.48,0.45,0.52,0.37
a_1,3.04,2.67,2.94,2.41,1.36,1.06,0.94,1.01,0.71,0.86,0.77,0.97,0.64,0.76,0.62,0.53
h_1,4.93,4.53,4.52,4.27,3.68,3.25,1.23,1.66,1.37,1.18,1.12,1.2,1.06,0.95,0.97,1.0
g_1,4.96,4.9,5.14,4.99,4.09,3.43,1.57,1.26,1.47,1.48,1.49,1.36,0.84,1.28,1.16,1.05
d_0,4.82,3.65,5.88,6.31,5.21,5.11,2.07,2.02,1.34,1.41,1.55,1.44,1.16,1.36,1.24,1.26
c_0,6.21,5.86,3.93,7.15,5.22,4.41,2.42,1.94,2.38,1.33,1.46,1.86,1.29,1.46,1.45,1.05
f_0,6.72,5.19,5.74,5.25,5.65,4.74,2.55,1.68,1.77,1.75,1.36,1.6,1.31,1.61,1.68,0.94
b_0,6.47,5.88,5.11,7.59,6.84,4.25,2.61,2.11,1.96,1.15,1.87,1.37,1.37,2.08,1.53,1.24
h_0,7.8,7.39,7.59,7.7,6.45,5.26,3.33,3.04,2.39,2.05,2.15,2.06,1.83,1.95,1.65,1.55
a_0,7.75,7.3,7.35,8.43,8.35,7.9,3.29,2.43,2.32,2.01,2.4,1.46,1.5,1.44,1.93,1.53
e_0,9.93,8.16,7.53,7.42,6.65,6.49,3.37,2.52,2.67,2.03,1.38,2.14,1.9,1.95,1.48,1.32
g_0,9.66,8.95,9.5,9.51,8.85,7.55,2.97,3.52,2.82,2.61,2.69,2.48,1.8,2.2,2.51,2.0
