,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.7,1.15,0.87,1.01,0.59,0.49,0.6,0.4,0.43,0.39,0.44,0.35,0.31,0.34,0.3
f_1,1.44,1.0,0.88,0.93,0.86,0.79,0.36,0.43,0.44,0.36,0.42,0.37,0.35,0.25,0.23,0.32
c_1,0.87,1.13,1.0,0.98,1.2,0.79,0.55,0.29,0.48,0.4,0.32,0.41,0.34,0.35,0.28,0.28
d_1,1.15,1.08,1.02,1.0,0.94,0.68,0.5,0.48,0.38,0.61,0.44,0.39,0.34,0.4,0.32,0.26
b_1,0.99,1.16,0.83,1.07,1.0,1.18,0.51,0.47,0.53,0.58,0.61,0.45,0.45,0.37,0.38,0.44
a_1,1.69,1.27,1.27,1.47,0.85,1.0,0.82,0.69,0.66,0.6,0.62,0.47,0.53,,0.42,0.37
h_1,2.0,2.85,1.89,1.91,1.98,1.18,1.0,0.97,1.27,0.75,0.81,0.85,0.72,0.77,0.72,0.69
d_0,1.64,2.33,3.51,2.4,2.09,1.45,1.0,1.0,1.24,0.84,0.99,0.79,0.74,0.73,0.83,0.84
g_1,2.4,2.33,2.09,2.76,1.88,1.46,0.81,0.82,1.0,1.02,0.99,1.04,0.74,0.63,0.83,1.04
c_0,2.14,2.93,2.52,1.69,1.83,1.68,1.35,1.22,1.04,1.01,1.46,1.01,0.88,0.78,0.99,0.92
b_0,2.41,2.53,3.13,2.19,1.5,1.63,1.22,1.1,1.09,0.72,1.0,0.97,0.92,1.12,0.89,0.85
f_0,2.26,2.42,2.47,2.66,2.08,2.14,1.19,1.22,0.95,1.08,0.97,1.0,0.95,0.87,1.2,0.63
h_0,2.88,3.09,2.99,2.82,2.19,1.96,1.33,1.36,1.33,1.16,1.09,1.07,1.0,1.02,0.85,1.08
a_0,3.06,3.96,2.9,2.49,2.63,,1.33,1.31,1.62,1.25,0.9,1.15,0.96,1.0,1.0,0.76
e_0,3.09,4.29,3.33,3.15,2.57,2.31,1.4,1.21,1.3,0.88,1.19,0.78,1.25,0.88,1.0,0.8
g_0,3.07,3.18,3.78,3.86,2.25,2.53,1.42,1.24,,1.2,1.23,1.61,0.91,1.28,1.21,1.0
