,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,1.53,0.79,0.84,1.15,0.85,0.7,1.07,1.68,0.92,0.91,1.13,1.11,1.17,0.81,0.86,1.1
f_1,1.47,1.55,0.77,0.82,0.71,0.61,0.94,1.16,0.93,1.1,0.85,0.96,1.05,0.61,1.0,0.99
d_1,0.91,1.05,1.57,0.71,0.85,0.69,1.04,0.84,0.88,1.69,1.0,1.15,1.1,0.99,0.91,1.01
c_1,0.76,0.89,0.92,1.57,1.44,0.72,1.1,0.92,0.87,0.69,1.03,0.7,1.12,0.84,0.72,1.08
b_1,0.86,0.94,0.94,0.79,1.61,1.42,1.08,1.07,1.04,1.11,0.99,0.81,1.21,0.99,0.77,1.11
a_1,0.99,1.19,1.0,1.06,0.72,1.74,1.09,1.26,1.02,0.95,1.11,1.13,1.36,1.1,0.89,1.08
h_1,1.09,1.47,1.21,1.11,1.0,0.81,1.8,1.15,1.7,1.22,1.16,1.16,1.15,1.1,1.15,1.67
d_0,0.95,1.06,0.98,1.79,1.23,0.91,1.41,1.73,1.34,0.96,1.4,1.29,1.42,1.22,1.38,1.4
g_1,1.1,1.13,1.62,1.18,1.03,0.99,1.12,1.12,1.88,1.29,1.75,1.16,1.23,1.08,1.07,1.07
c_0,1.29,1.24,1.1,1.12,0.81,1.0,1.41,1.67,1.28,1.78,1.4,2.24,1.5,1.13,1.54,1.53
f_0,1.0,1.06,1.29,1.33,1.18,1.05,1.51,1.4,1.28,1.38,1.79,1.41,1.49,2.08,1.3,1.33
b_0,1.17,1.35,1.08,1.47,0.91,0.65,1.54,1.5,1.49,1.08,1.32,1.82,1.59,1.27,2.23,1.53
h_0,1.15,1.55,1.28,1.19,1.11,1.05,1.32,1.53,1.76,1.33,1.37,1.33,1.34,1.16,1.16,1.66
e_0,1.07,1.53,1.31,1.32,1.04,0.95,1.66,1.54,1.68,1.54,1.12,1.47,1.87,1.9,1.72,1.63
a_0,1.33,1.25,1.36,1.4,1.24,0.79,1.63,1.45,1.66,1.47,1.37,1.25,1.52,1.06,1.82,1.38
g_0,1.07,1.19,1.73,1.1,1.24,1.01,1.32,1.31,1.41,1.54,1.93,1.3,1.42,1.32,1.45,1.36
