,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,0.66,0.99,0.83,0.94,0.84,0.77,0.36,0.46,0.32,0.35,0.33,0.33,0.33,0.23,0.26,0.28
e_1,0.71,0.65,0.99,1.06,0.98,0.9,0.45,0.47,0.34,0.45,0.36,0.4,0.35,0.29,0.37,0.3
d_1,1.1,1.0,0.64,0.93,0.88,0.77,0.4,0.31,0.39,0.4,0.39,0.32,0.3,0.26,0.33,0.2
c_1,1.0,0.85,1.08,0.63,1.17,0.86,0.44,0.43,0.4,0.24,0.32,0.36,0.31,0.3,0.33,0.29
b_1,1.09,1.07,1.14,0.71,0.62,1.08,0.49,0.46,0.45,0.37,0.43,0.4,0.33,0.29,0.35,0.29
a_1,1.43,1.23,1.32,1.14,0.73,0.56,0.58,0.53,0.46,0.48,0.59,0.45,0.54,0.38,0.51,0.37
h_1,1.7,1.49,1.56,1.47,1.41,1.32,0.54,0.72,0.55,0.55,0.53,0.56,0.53,0.52,0.47,0.48
g_1,1.7,1.64,1.91,1.63,1.54,1.5,0.67,0.52,0.67,0.62,0.6,0.62,0.54,0.42,0.58,0.58
c_0,1.89,1.78,1.28,2.1,1.61,1.52,0.91,0.69,0.55,0.88,0.77,0.64,0.64,0.5,0.65,0.52
d_0,1.57,1.18,2.32,2.21,1.89,1.67,0.85,0.85,0.56,0.55,0.59,0.65,0.6,0.51,0.66,0.55
b_0,1.79,1.75,1.52,2.23,2.05,1.64,0.86,0.81,0.43,0.72,0.53,0.59,0.72,0.55,0.65,0.5
f_0,2.29,1.76,1.95,1.68,1.73,1.59,0.82,0.63,0.67,0.7,0.68,0.53,0.62,0.53,0.67,0.39
a_0,2.05,2.01,2.04,2.12,2.24,1.83,0.83,0.89,0.61,0.79,0.46,0.77,0.53,0.63,0.66,0.56
h_0,2.21,2.05,2.05,1.98,2.0,1.65,0.94,0.88,0.74,0.72,0.67,0.69,0.61,0.7,0.6,0.59
e_0,2.8,2.49,2.19,2.02,1.97,1.5,0.98,0.77,0.78,0.75,0.73,0.51,0.69,0.65,0.5,0.5
g_0,2.19,2.19,2.46,2.16,2.26,1.79,0.82,0.92,0.79,0.78,0.75,0.8,0.72,0.54,0.74,0.66
