,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.29,0.24,0.24,0.19,0.18,0.15,0.45,0.94,0.58,0.36,0.48,0.41,0.45,0.38,0.1,0.48
f_1,0.4,2.33,0.24,0.26,0.16,0.14,0.33,0.42,0.46,0.37,0.43,0.13,0.61,0.43,0.23,0.52
c_1,0.22,0.18,2.35,0.22,0.41,0.15,0.37,0.46,0.07,0.33,0.29,0.45,0.61,0.4,0.36,0.58
d_1,0.25,0.21,0.21,2.36,0.26,0.16,0.35,0.1,0.84,0.41,0.54,0.48,0.58,0.28,0.35,0.46
b_1,0.17,0.29,0.22,0.2,2.55,0.35,0.42,0.44,0.62,0.36,0.08,0.41,0.53,0.3,0.28,0.45
a_1,0.21,0.25,0.21,0.25,0.14,2.92,0.59,0.51,0.39,0.33,0.49,0.52,0.52,0.07,0.5,0.48
h_1,0.34,0.54,0.36,0.4,0.34,0.29,2.8,0.73,0.76,0.79,0.73,0.83,0.43,0.52,0.94,1.31
d_0,0.43,0.44,0.68,0.13,0.3,0.3,0.69,2.29,0.69,0.5,0.82,0.99,1.09,0.57,0.72,1.07
c_0,0.49,0.45,0.24,0.37,0.25,0.37,0.79,0.91,2.22,0.61,1.47,0.73,1.17,0.83,0.88,1.02
g_1,0.38,0.29,0.35,0.67,0.29,0.33,0.71,0.87,0.8,3.12,0.76,1.2,0.93,0.6,0.64,0.36
b_0,0.41,0.42,0.48,0.44,0.09,0.25,0.72,0.93,0.96,0.55,2.57,0.75,1.05,1.42,0.84,0.88
f_0,0.37,0.17,0.52,0.42,0.39,0.36,0.8,0.96,0.78,0.63,0.91,2.47,1.03,0.56,1.42,0.78
h_0,0.36,0.56,0.41,0.43,0.32,0.28,0.29,0.68,0.7,0.66,0.91,0.61,0.4,0.62,0.6,1.1
a_0,0.37,0.41,0.44,0.47,0.33,,0.87,0.82,0.58,0.78,0.83,0.77,1.34,2.88,0.66,1.0
e_0,0.09,0.5,0.42,0.45,0.41,0.33,1.03,0.95,0.99,0.7,0.85,0.94,1.16,0.73,2.91,1.03
g_0,0.3,0.4,0.37,0.59,0.39,0.26,0.8,0.6,0.71,0.29,0.9,1.38,0.83,0.77,0.84,0.49
