,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,g_0,e_0,a_0
e_1,1.12,5.68,2.63,4.93,4.39,3.89,1.32,1.13,0.93,1.82,1.1,0.99,0.6,0.79,2.07,1.08
d_1,5.81,1.1,5.37,5.41,4.29,4.41,1.29,2.66,0.81,0.76,0.9,0.74,0.61,0.38,0.83,0.8
f_1,4.09,4.78,1.12,4.71,4.19,4.18,1.04,0.87,0.95,1.56,0.9,2.16,0.5,0.93,1.01,1.02
c_1,3.72,5.97,4.18,1.12,5.53,4.64,1.27,0.53,1.67,1.19,0.99,1.0,0.72,0.63,0.91,0.78
b_1,5.62,5.78,7.26,2.72,1.13,8.66,1.64,1.23,1.42,1.68,2.24,0.99,0.99,0.88,1.16,1.01
a_1,11.04,8.37,7.1,10.14,4.21,1.14,2.52,1.89,1.64,3.3,2.33,1.85,1.35,1.25,1.42,2.91
h_1,15.38,17.5,17.4,14.26,15.79,12.03,1.7,3.04,3.36,4.19,2.77,2.58,3.19,1.98,2.58,2.91
d_0,9.2,31.93,19.94,22.43,20.02,15.59,5.78,2.16,4.01,6.11,4.43,3.56,2.58,3.02,4.25,3.13
c_0,19.57,10.02,21.86,31.75,20.9,17.88,5.99,6.51,2.2,5.64,3.66,3.7,2.99,2.77,3.92,3.46
g_1,18.94,18.84,22.58,20.15,19.74,17.56,4.22,4.26,4.77,1.77,5.11,4.04,2.22,3.18,4.06,3.46
b_0,21.22,16.5,25.26,30.04,41.2,18.74,5.7,4.31,2.27,5.36,2.09,3.78,3.24,3.24,3.57,3.22
f_0,21.61,20.28,44.87,24.93,26.57,18.39,6.4,5.56,4.49,3.92,4.53,2.28,3.48,2.15,3.92,3.86
h_0,27.73,25.73,24.89,31.16,28.15,28.66,11.56,6.57,5.96,10.38,5.81,5.77,7.25,4.17,4.35,4.68
g_0,27.73,36.68,42.62,40.06,34.25,32.48,7.78,8.96,6.53,12.82,6.52,5.65,3.89,8.07,6.33,5.63
e_0,58.7,24.11,46.08,37.81,38.42,31.44,9.45,8.73,7.01,7.27,7.23,3.65,5.28,4.84,2.41,5.63
a_0,34.87,31.06,44.29,42.06,43.74,55.69,10.95,7.58,7.48,11.28,4.03,7.56,6.9,5.95,8.4,2.79
