,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.15,100.35,55.87,73.21,92.03,144.86,23.71,27.36,16.8,14.21,18.32,18.83,14.32,19.35,,13.08
d_1,103.79,1.15,103.27,112.43,86.62,81.12,32.24,12.98,,16.7,20.77,16.55,9.11,32.25,13.35,9.52
f_1,113.84,97.49,1.15,65.58,95.0,184.36,16.12,31.92,15.63,17.13,17.8,,7.86,22.76,19.28,14.95
c_1,110.28,106.63,85.2,1.15,101.55,101.4,29.85,21.28,12.0,,18.88,27.3,12.94,14.88,28.92,11.63
b_1,88.22,92.22,103.27,57.24,1.15,106.74,32.24,36.48,21.0,23.03,,21.84,14.85,,28.92,20.93
a_1,160.41,179.58,142.0,174.89,79.59,1.15,26.0,69.64,37.33,39.29,29.67,30.33,30.85,,,20.93
h_1,106.94,79.35,106.5,101.55,89.24,119.29,2.0,27.36,22.4,23.03,23.07,17.61,,15.48,16.52,13.65
g_1,117.63,97.49,131.08,125.92,95.0,106.74,24.42,2.0,18.67,23.03,17.8,24.82,12.53,21.5,28.92,
d_0,48.34,,89.68,95.39,81.81,96.57,23.71,28.37,2.91,24.74,18.88,18.2,14.32,24.19,13.88,15.7
c_0,100.83,55.03,85.2,,79.59,72.43,22.39,27.36,23.17,3.12,18.88,23.74,16.71,18.43,15.09,8.97
b_0,126.04,83.22,121.71,136.87,,112.67,31.0,36.48,23.17,9.54,2.9,21.0,12.94,20.37,15.77,12.08
f_0,100.83,103.39,,196.75,128.04,81.12,38.38,18.68,26.88,23.86,28.32,2.97,14.85,19.35,26.69,9.52
h_0,106.94,142.17,103.27,85.08,101.55,88.17,,28.37,17.68,17.13,23.96,21.0,,15.48,18.26,14.27
a_0,294.08,189.56,117.52,112.43,,,44.78,45.06,35.37,35.16,16.39,27.3,28.64,3.25,26.69,24.15
e_0,,179.58,262.15,224.86,196.33,,53.73,51.07,37.33,27.83,28.32,15.6,23.59,35.18,3.13,
g_0,117.63,142.17,142.0,143.09,173.24,101.4,28.79,,24.89,39.29,32.79,22.75,11.79,25.8,,
