,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.0,1.23,1.45,1.34,1.51,3.01,21.02,28.13,32.3,35.75,51.21,46.81,82.66,79.96,102.15,134.78
c_1,0.83,1.0,0.87,1.62,1.51,2.6,17.25,18.55,22.01,30.06,32.07,45.23,68.62,76.1,100.44,106.79
e_1,0.68,1.14,1.0,1.19,1.04,2.35,21.66,33.14,25.87,27.99,42.96,56.12,69.33,82.54,95.0,114.2
b_1,0.75,0.63,0.83,1.0,1.1,3.25,18.91,17.59,25.51,26.82,36.12,42.14,60.78,64.56,91.04,86.82
d_1,0.65,0.67,0.96,0.91,1.0,2.12,15.59,20.46,28.68,17.51,39.59,45.91,71.51,66.18,83.69,71.9
a_1,0.33,0.38,0.43,0.3,0.48,1.0,8.11,9.65,9.94,11.53,18.52,18.97,27.54,29.11,40.35,41.28
h_1,0.05,0.06,0.05,0.06,0.06,0.12,1.0,1.15,1.31,1.75,2.06,2.29,3.63,4.26,4.61,5.69
d_0,0.04,0.05,0.03,0.05,0.05,0.1,0.85,1.0,0.91,1.18,1.45,1.94,2.84,3.28,5.04,4.23
c_0,0.03,0.05,0.04,0.04,0.03,0.1,0.79,1.15,1.0,1.01,2.08,1.86,3.57,3.14,4.19,3.67
g_1,0.03,0.03,0.03,0.04,0.06,0.08,0.55,0.79,1.01,1.0,1.49,2.09,2.58,2.4,3.56,3.84
b_0,0.02,0.03,0.02,0.03,0.03,0.05,0.49,0.68,0.49,0.66,1.0,1.12,2.59,1.85,2.4,2.45
f_0,0.02,0.02,0.02,0.02,0.02,0.05,0.43,0.52,0.53,0.45,0.88,1.0,1.66,1.64,2.71,1.69
a_0,0.01,0.01,0.01,0.02,0.01,0.04,0.28,0.35,0.29,0.42,0.4,0.61,1.0,1.14,1.33,1.3
h_0,0.01,0.01,0.01,0.02,0.02,0.03,0.24,0.3,0.31,0.4,0.54,0.58,0.93,1.0,1.32,1.42
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.22,0.2,0.25,0.28,0.42,0.35,0.76,0.77,1.0,0.94
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.18,0.24,0.26,0.27,0.4,0.59,0.76,0.69,1.08,1.0
