,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,1.0,0.85,1.41,0.99,0.84,1.01,0.87,1.0,1.0,0.93,0.85,0.93,0.77,1.07,1.06,0.79
d_1,1.17,1.0,1.09,0.86,0.98,0.75,1.07,0.91,1.02,1.36,1.03,0.99,1.14,0.8,0.96,0.86
e_1,0.71,0.92,1.0,1.06,1.11,1.14,1.17,0.97,1.35,1.05,1.1,1.17,1.18,1.11,0.9,1.04
c_1,1.02,1.16,0.94,1.0,1.36,0.76,0.9,0.85,0.76,0.77,0.94,0.81,1.13,0.99,0.96,1.13
b_1,1.19,1.02,0.9,0.73,1.0,1.42,1.14,1.08,0.97,1.07,0.96,1.04,0.95,1.14,0.91,1.14
a_1,0.99,1.33,0.88,1.31,0.71,1.0,1.14,0.98,1.0,0.94,1.06,1.01,1.01,1.03,,0.89
h_1,1.16,0.93,0.84,1.1,0.85,0.86,1.0,1.32,0.9,0.92,0.91,1.13,1.04,1.22,0.88,1.12
g_1,1.03,1.12,0.98,1.2,0.91,0.98,0.75,1.0,0.89,0.98,1.1,1.07,0.79,0.75,0.91,0.93
d_0,0.96,1.02,0.71,1.39,1.09,1.03,1.1,1.16,1.0,0.92,0.86,0.91,0.98,0.92,1.08,1.01
c_0,1.14,0.75,0.97,1.33,0.91,1.1,1.09,1.07,1.13,1.0,1.13,1.49,1.09,1.01,1.29,1.07
f_0,1.1,1.0,0.94,1.11,1.05,0.9,1.05,0.97,1.18,0.89,1.0,1.01,0.95,0.82,0.98,1.49
b_0,1.07,0.99,0.83,1.29,1.02,0.92,0.9,0.9,1.06,0.66,0.99,1.0,1.13,0.91,1.47,0.96
h_0,1.26,0.95,0.82,0.92,1.08,0.96,1.0,1.22,0.98,0.87,1.12,0.89,1.0,1.21,0.97,0.89
g_0,0.91,1.21,0.88,1.02,0.86,1.02,0.82,1.35,0.99,1.02,1.17,1.14,0.81,1.0,0.92,0.97
a_0,0.9,1.05,1.09,1.03,1.02,,1.08,1.02,0.91,0.66,1.01,0.68,1.04,1.14,1.0,0.78
e_0,1.27,1.11,0.93,0.87,0.86,1.11,0.91,1.11,0.97,0.92,0.68,1.06,1.21,1.02,1.47,1.0
