,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,2.21,0.06,0.03,0.03,0.03,0.02,0.06,0.05,0.06,0.06,0.05,,0.1,0.04,0.05,0.03
e_1,0.03,2.27,0.03,0.03,0.02,0.01,0.05,0.03,0.07,0.12,0.03,0.06,0.09,0.03,0.08,
d_1,0.04,0.03,2.28,0.02,0.03,0.02,0.05,0.07,0.11,,0.07,0.04,0.08,0.04,0.06,0.04
c_1,0.04,0.03,0.03,2.42,0.05,0.02,0.05,0.04,,0.07,0.05,0.07,0.05,,0.08,0.04
b_1,0.03,0.03,0.03,0.03,2.5,0.04,0.06,0.04,0.06,0.05,,0.06,0.09,0.04,0.05,0.05
a_1,0.04,0.03,0.02,0.02,0.02,3.02,0.05,0.04,0.06,0.04,0.06,0.08,0.1,,0.08,
h_1,0.15,0.11,0.1,0.1,0.07,0.08,2.71,0.19,0.29,0.21,0.32,0.16,,0.15,0.41,0.16
g_1,0.08,0.09,0.16,0.13,0.11,0.08,0.2,2.92,0.29,0.22,0.27,0.25,0.25,0.12,,
c_0,0.15,0.12,0.14,,0.11,0.14,0.27,0.25,2.03,0.4,0.44,0.32,0.43,0.21,0.38,0.16
d_0,0.18,0.16,,0.24,0.14,0.14,0.29,0.31,0.23,1.87,0.31,0.29,0.44,0.22,0.33,0.27
b_0,0.15,0.12,0.13,0.14,,0.09,0.28,0.3,0.27,0.34,2.2,0.25,0.28,0.56,0.42,0.26
f_0,,0.16,0.13,0.13,0.15,0.14,0.28,0.19,0.24,0.38,0.39,2.18,0.39,0.27,0.26,0.55
h_0,0.28,0.23,0.2,0.19,0.22,0.11,,0.52,0.53,0.41,0.45,0.42,,0.52,0.72,
a_0,0.12,0.12,0.14,,0.11,,0.23,0.35,0.38,0.26,0.24,0.37,0.48,2.69,0.35,
g_0,0.2,0.17,0.32,0.18,0.16,0.2,0.48,,0.41,0.53,0.39,0.53,0.52,0.36,,
e_0,0.11,,0.18,0.17,0.14,,0.36,,0.4,0.41,0.3,0.35,,,,2.77
